SENATOR,Precinct,Voters,Trnout,Pct,BILL BRADBURY (DEM),DAN FITZGERALD (LIB),LON MABON (CON),GORDON H. SMITH (REP),Under Votes,Over Votes,Write-ins,
,3144,2955,2451,82.94%,59,1910,451,29,1,1,,
,3151,4416,2724,61.68%,101,2362,211,27,4,19,,
,3177,3933,2840,72.21%,106,2056,624,35,5,14,,
,3185,2464,1633,66.27%,77,818,702,22,9,5,,
,3193,4099,2966,72.36%,113,2237,560,40,2,14,,
,3240,4314,2997,69.47%,157,1968,806,44,5,17,,
,3248,2800,1923,68.68%,81,1433,380,22,2,5,,
,3253,2871,2038,70.99%,66,1601,335,23,5,8,,
,3259,3721,2829,76.03%,76,2332,389,24,1,7,,
,3274,3355,2311,68.88%,109,1926,232,29,2,13,,
,3290,3399,2778,81.73%,72,2161,509,26,2,8,,
,3297,2297,1283,55.86%,67,850,340,18,1,7,,
,3307,2685,1754,65.33%,60,897,764,28,0,5,,
,3311,2991,1889,63.16%,113,973,756,32,1,14,,
,3315,2256,1263,55.98%,81,639,510,27,2,4,,
,3322,2209,1545,69.94%,42,807,670,22,0,4,,
,3327,1970,1265,64.21%,60,692,482,26,0,5,,
,3329,3470,2459,70.86%,106,1193,1113,40,2,5,,
,3330,3450,2375,68.84%,81,1209,1037,40,4,4,,
,4022,3485,2313,66.37%,95,1947,234,22,3,12,,
,4027,3313,2406,72.62%,91,2088,189,30,3,5,,
,4041,4042,3064,75.8%,102,2538,386,26,3,9,,
,4049,4168,2929,70.27%,128,2370,388,28,0,15,,
,4065,4531,3172,70.01%,127,2532,445,44,4,20,,
,4106,2889,2152,74.49%,84,1806,234,18,2,8,,
,4111,3400,2631,77.38%,78,1901,611,34,3,4,,
,4125,3213,1950,60.69%,110,999,801,29,4,7,,
,4131,2764,1967,71.16%,82,1385,459,27,3,11,,
,4155,3558,2512,70.6%,105,1718,642,36,0,11,,
,4167,4087,2854,69.83%,114,2206,488,35,1,10,,
,4178,2828,1734,61.32%,100,1104,491,22,8,9,,
,4185,2636,1548,58.73%,105,951,443,35,2,12,,
,4202,3189,1960,61.46%,135,1139,638,31,4,13,,
,4216,1281,699,54.57%,67,320,289,18,0,5,,
,4242,3381,2471,73.08%,80,1819,529,33,4,6,,
,4250,2711,1962,72.37%,75,1350,513,17,1,6,,
,4254,1889,1310,69.35%,68,907,309,16,2,8,,
,4282,3634,2826,77.77%,76,2029,676,29,2,14,,
,4295,3541,2660,75.12%,85,2077,457,28,2,11,,
,4299,4097,2297,56.07%,187,1284,761,42,5,18,,
,4309,2397,1465,61.12%,60,708,667,23,5,2,,
,4320,2077,1395,67.16%,58,732,573,31,0,1,,
,4333,3161,1960,62.01%,113,1062,741,29,3,12,,
,4338,3285,1993,60.67%,127,948,863,46,1,8,,
,4339,3514,1966,55.95%,142,1025,750,31,2,16,,
,4340,2160,1177,54.49%,67,638,450,15,0,7,,
,4344,2444,1471,60.19%,88,777,568,24,3,11,,
,4345,3668,2173,59.24%,119,1096,916,31,2,9,,
,4350,3753,2183,58.17%,131,1100,900,40,3,9,,
,4352,2228,1187,53.28%,89,603,472,16,0,7,,
,4359,1643,1052,64.03%,37,523,481,6,1,4,,
,4360,2329,1306,56.08%,90,634,548,25,3,6,,
,4361,3267,1886,57.73%,109,962,766,42,1,6,,
,4362,2491,1425,57.21%,104,802,470,30,3,16,,
,4363,3720,2597,69.81%,132,1836,585,32,5,7,,
,5029,541,396,73.2%,13,223,153,6,0,1,,
,5100,3339,1977,59.21%,85,934,922,27,1,8,,
,5200,3922,2436,62.11%,127,1006,1268,27,3,5,,
,5201,3250,2190,67.38%,93,994,1057,35,2,9,,
,5301,1336,736,55.09%,36,349,329,16,2,4,,
,5401,402,279,69.4%,15,153,107,3,0,1,,
,5425,2510,1745,69.52%,82,783,846,25,1,8,,
,5602,353,249,70.54%,11,88,142,7,1,0,,
,5604,2101,1478,70.35%,65,603,774,33,1,2,,
,5605,140,94,67.14%,3,39,50,2,0,0,,
,5819,3299,1959,59.38%,108,916,895,32,0,8,,
,5820,4163,2521,60.56%,125,1182,1154,44,5,11,,
,5828,3506,1939,55.31%,117,903,871,33,2,13,,
,5842,4258,2989,70.2%,132,1399,1394,54,1,9,,
,5846,4292,2926,68.17%,111,1187,1562,57,3,6,,
,5850,2126,1265,59.5%,53,614,575,19,3,1,,
,5851,4047,2655,65.6%,103,1138,1361,41,4,8,,
,5853,3389,2214,65.33%,83,1080,1005,35,1,10,,
,5855,3719,2554,68.67%,69,1200,1240,35,2,8,,
,5861,2545,1611,63.3%,71,734,759,33,3,11,,
,5868,2647,1632,61.65%,76,753,778,21,1,3,,
,5870,3241,1965,60.63%,127,975,807,39,2,15,,
,5871,2039,988,48.46%,65,536,362,17,2,6,,
,TOTAL,363587,245238,67.45%,10658,159242,70745,3360,254,979,,
STATE SENATOR 16TH DISTRICT,Precinct,Voters,Trnout,Pct,JOAN DUKES (DEM),DON FELL (REP),HELEN MCDANIEL (LIB),Under Votes,Over Votes,Write-ins,,
,1505,662,530,80.06%,244,223,23,39,0,1,,
,TOTAL,662,530,80.06%,244,223,23,39,0,1,,
STATE SENATOR 17TH DISTRICT,Precinct,Voters,Trnout,Pct,CHARLIE RINGO (DEM),BILL WITT (REP),Under Votes,Over Votes,Write-ins,,,
,1002,787,568,72.17%,364,177,25,1,1,,,
,1013,4514,3548,78.6%,2607,791,139,0,11,,,
,1025,3960,2561,64.67%,1963,436,144,5,13,,,
,1045,249,211,84.74%,121,82,6,1,1,,,
,1053,2797,1419,50.73%,959,363,80,5,12,,,
,1321,2251,1765,78.41%,880,794,86,3,2,,,
,1500,571,447,78.28%,261,167,18,0,1,,,
,1504,1559,1166,74.79%,601,508,48,2,7,,,
,1507,340,285,83.82%,157,122,5,0,1,,,
,TOTAL,17028,11970,70.3%,7913,3440,551,17,49,,,
STATE SENATOR 19TH DISTRICT,Precinct,Voters,Trnout,Pct,DAVID M. AKIN (LIB),RICHARD DEVLIN (DEM),BOB TIERNAN (REP),Under Votes,Over Votes,Write-ins,,
,0156,66,54,81.82%,0,31,21,2,0,0,,
,1211,2120,1659,78.25%,37,1102,422,93,1,4,,
,1213,3087,2354,76.26%,67,1494,651,128,3,11,,
,1222,4049,3196,78.93%,95,1900,1020,167,4,10,,
,1400,1737,1329,76.51%,42,685,536,62,1,3,,
,1546,1056,866,82.01%,18,401,408,38,1,0,,
,TOTAL,12115,9458,78.07%,259,5613,3058,490,10,28,,
STATE SENATOR 24TH DISTRICT,Precinct,Voters,Trnout,Pct,"CLETUS MOORE, JR. (REP)",FRANK SHIELDS (DEM),Under Votes,Over Votes,Write-ins,,,
,3311,2991,1889,63.16%,658,1075,138,4,14,,,
,3322,2209,1545,69.94%,658,764,116,2,5,,,
,3327,1970,1265,64.21%,447,714,90,1,13,,,
,3329,3470,2459,70.86%,1044,1241,155,4,15,,,
,3330,3450,2375,68.84%,891,1310,161,3,10,,,
,4309,2397,1465,61.12%,650,695,110,3,7,,,
,4320,2077,1395,67.16%,499,780,111,1,4,,,
,4333,3161,1960,62.01%,668,1141,137,6,8,,,
,4338,3285,1993,60.67%,722,1083,174,2,12,,,
,4339,3514,1966,55.95%,688,1083,167,2,26,,,
,4340,2160,1177,54.49%,408,649,110,0,10,,,
,4344,2444,1471,60.19%,530,823,105,3,10,,,
,4345,3668,2173,59.24%,817,1187,152,2,15,,,
,4350,3753,2183,58.17%,783,1207,179,3,11,,,
,4352,2228,1187,53.28%,429,659,91,0,8,,,
,4359,1643,1052,64.03%,462,500,85,1,4,,,
,4360,2329,1306,56.08%,467,718,106,2,13,,,
,4361,3267,1886,57.73%,681,1031,162,0,12,,,
,5605,140,94,67.14%,43,49,2,0,0,,,
,TOTAL,50156,30841,61.49%,11545,16709,2351,39,197,,,
STATE SENATOR 26TH DISTRICT,Precinct,Voters,Trnout,Pct,RICK METSGER (DEM),BOB MONTGOMERY (REP),Under Votes,Over Votes,Write-ins,,,
,4216,1281,699,54.57%,389,278,27,0,5,,,
,5425,2510,1745,69.52%,835,823,74,3,10,,,
,5602,353,249,70.54%,111,128,10,0,0,,,
,5604,2101,1478,70.35%,648,726,98,1,5,,,
,TOTAL,6245,4171,66.79%,1983,1955,209,4,20,,,
STATE HOUSE 27TH DISTRICT,Precinct,Voters,Trnout,Pct,MARK HASS (DEM),Under Votes,Over Votes,Write-ins,,,,
,1240,1601,1264,78.95%,765,478,1,20,,,,
,1515,1120,929,82.95%,530,378,0,21,,,,
,TOTAL,2721,2193,80.6%,1295,856,1,41,,,,
STATE HOUSE 31ST DISTRICT,Precinct,Voters,Trnout,Pct,MERVIN ARNOLD (IND),BOB EKSTROM (CON),ELIZABETH (BETSY) JOHNSON (DEM),Under Votes,Over Votes,Write-ins,,
,1505,662,530,80.06%,50,79,328,70,1,2,,
,TOTAL,662,530,80.06%,50,79,328,70,1,2,,
STATE HOUSE 33RD DISTRICT,Precinct,Voters,Trnout,Pct,ANTHONY AMBROSE (LIB),MITCH GREENLICK (DEM),ERIK T. HARTUNG (REP),Under Votes,Over Votes,Write-ins,,
,1002,787,568,72.17%,26,362,151,28,0,1,,
,1013,4514,3548,78.6%,96,2609,664,169,3,7,,
,1025,3960,2561,64.67%,148,1940,312,146,0,15,,
,1045,249,211,84.74%,5,129,72,5,0,0,,
,1053,2797,1419,50.73%,90,981,266,76,1,5,,
,1321,2251,1765,78.41%,44,920,698,96,4,3,,
,1500,571,447,78.28%,13,262,151,18,1,2,,
,1504,1559,1166,74.79%,46,649,411,52,3,5,,
,1507,340,285,83.82%,7,173,99,4,1,1,,
,TOTAL,17028,11970,70.3%,475,8025,2824,594,13,39,,
STATE HOUSE 35TH DISTRICT,Precinct,Voters,Trnout,Pct,CARLA SHULTS (LIB),GEOFF SINCLAIR (DEM),MAX WILLIAMS (REP),Under Votes,Over Votes,Write-ins,,
,1238,2362,1730,73.24%,120,739,671,193,1,6,,
,TOTAL,2362,1730,73.24%,120,739,671,193,1,6,,
STATE HOUSE 36TH DISTRICT,Precinct,Voters,Trnout,Pct,MARY NOLAN (DEM),Under Votes,Over Votes,Write-ins,,,,
,0158,102,85,83.33%,32,50,0,3,,,,
,1103,3446,2146,62.28%,1433,638,0,75,,,,
,1156,3106,2510,80.81%,1500,958,0,52,,,,
,1170,3831,3098,80.87%,1830,1193,1,74,,,,
,1183,2412,1814,75.21%,1160,612,0,42,,,,
,1205,3970,2947,74.23%,1830,1034,0,83,,,,
,1224,3219,2635,81.86%,1659,922,0,54,,,,
,1226,2284,1840,80.56%,1095,696,1,48,,,,
,1230,4065,3146,77.39%,1911,1155,0,80,,,,
,1245,4351,3333,76.6%,2069,1163,1,100,,,,
,1315,3636,2457,67.57%,1573,814,1,69,,,,
,TOTAL,34422,26011,75.57%,16092,9235,4,680,,,,
STATE HOUSE 38TH DISTRICT,Precinct,Voters,Trnout,Pct,GREG MACPHERSON (DEM),JIM ZUPANCIC (REP),Under Votes,Over Votes,Write-ins,,,
,0156,66,54,81.82%,28,23,3,0,0,,,
,1211,2120,1659,78.25%,1171,386,98,0,4,,,
,1213,3087,2354,76.26%,1621,611,107,5,10,,,
,1222,4049,3196,78.93%,1961,1075,150,2,8,,,
,1400,1737,1329,76.51%,726,537,63,0,3,,,
,1546,1056,866,82.01%,395,435,33,1,2,,,
,TOTAL,12115,9458,78.07%,5902,3067,454,8,27,,,
STATE HOUSE 41ST DISTRICT,Precinct,Voters,Trnout,Pct,MATT FISHER (LIB),CAROLYN TOMEI (DEM),Under Votes,Over Votes,Write-ins,,,
,0548,33,18,54.55%,6,11,1,0,0,,,
,0601,0,0,0%,0,0,0,0,0,,,
,4202,3189,1960,61.46%,331,1260,332,3,34,,,
,4242,3381,2471,73.08%,297,1771,377,2,24,,,
,4250,2711,1962,72.37%,247,1372,322,1,20,,,
,4282,3634,2826,77.77%,293,1997,512,3,21,,,
,4295,3541,2660,75.12%,290,1979,374,4,13,,,
,4299,4097,2297,56.07%,447,1417,384,3,46,,,
,TOTAL,20586,14194,68.95%,1911,9807,2302,16,158,,,
STATE HOUSE 42ND DISTRICT,Precinct,Voters,Trnout,Pct,CHARLEY NIMS (SOC),THERESA A. REED (LIB),DIANE ROSENBAUM (DEM),Under Votes,Over Votes,Write-ins,,
,3274,3355,2311,68.88%,196,207,1619,258,3,28,,
,4022,3485,2313,66.37%,208,200,1661,219,5,20,,
,4027,3313,2406,72.62%,200,169,1765,251,2,19,,
,4041,4042,3064,75.8%,182,215,2284,364,2,17,,
,4049,4168,2929,70.27%,209,251,2087,347,4,31,,
,4065,4531,3172,70.01%,195,259,2345,333,6,34,,
,4106,2889,2152,74.49%,141,140,1647,202,2,20,,
,4167,4087,2854,69.83%,139,255,2042,378,9,31,,
,4254,1889,1310,69.35%,62,156,864,212,0,16,,
,4363,3720,2597,69.81%,120,277,1773,377,5,45,,
,TOTAL,35479,25108,70.77%,1652,2129,18087,2941,38,261,,
STATE HOUSE 43RD DISTRICT,Precinct,Voters,Trnout,Pct,HERB BOOTH (LIB),SHIRLEY WHITEHEAD FREEMAN (REP),DEBORAH KAFOURY (DEM),Under Votes,Over Votes,Write-ins,,
,2086,3702,2344,63.32%,83,300,1771,178,3,9,,
,2099,3345,1875,56.05%,91,148,1482,133,5,16,,
,3004,2894,1608,55.56%,91,166,1224,116,2,9,,
,3008,3888,2647,68.08%,72,327,2024,202,0,22,,
,3058,4316,2763,64.02%,106,306,2152,181,2,16,,
,3097,3962,2528,63.81%,79,152,2123,162,1,11,,
,3151,4416,2724,61.68%,90,146,2319,155,1,13,,
,3253,2871,2038,70.99%,58,257,1571,146,3,3,,
,3259,3721,2829,76.03%,79,289,2252,204,3,2,,
,TOTAL,33115,21356,64.49%,749,2091,16918,1477,20,101,,
STATE HOUSE 44TH DISTRICT,Precinct,Voters,Trnout,Pct,THOMAS W. ALBRIGHT (SOC),GARY D. HANSEN (DEM),MARTIN M. KENNEDY (CON),Under Votes,Over Votes,Write-ins,,
,2002,3707,2092,56.43%,149,1377,269,255,3,39,,
,2026,3727,2059,55.25%,144,1385,260,243,9,18,,
,2029,3741,2239,59.85%,153,1536,215,293,5,37,,
,2077,4568,2949,64.56%,200,1946,346,411,1,45,,
,2100,3994,2752,68.9%,178,1883,262,401,3,25,,
,2114,3534,2438,68.99%,234,1733,187,258,5,21,,
,2143,2503,1588,63.44%,61,1003,194,300,1,29,,
,3297,2297,1283,55.86%,83,829,146,199,3,23,,
,TOTAL,28071,17400,61.99%,1202,11692,1879,2360,30,237,,
STATE HOUSE 45TH DISTRICT,Precinct,Voters,Trnout,Pct,JACKIE DINGFELDER (DEM),ARTHUR L.(ART) SCARBOROUGH (SOC),Under Votes,Over Votes,Write-ins,,,
,3000,3414,2137,62.6%,1498,166,424,2,47,,,
,3002,3859,2500,64.78%,1835,173,435,2,55,,,
,3113,3645,2900,79.56%,2236,139,492,3,30,,,
,3128,3761,3086,82.05%,2358,150,526,3,49,,,
,3144,2955,2451,82.94%,1906,96,417,6,26,,,
,3177,3933,2840,72.21%,2105,151,523,6,55,,,
,3185,2464,1633,66.27%,999,121,435,9,69,,,
,3193,4099,2966,72.36%,2227,200,498,0,41,,,
,3307,2685,1754,65.33%,1093,139,471,4,47,,,
,3315,2256,1263,55.98%,789,124,293,1,56,,,
,5029,541,396,73.2%,248,65,77,0,6,,,
,TOTAL,33612,23926,71.18%,17294,1524,4591,36,481,,,
STATE HOUSE 46TH DISTRICT,Precinct,Voters,Trnout,Pct,ERIC DICKMAN (LIB),STEVE MARCH (DEM),Under Votes,Over Votes,Write-ins,,,
,3240,4314,2997,69.47%,493,1907,544,4,49,,,
,3248,2800,1923,68.68%,228,1371,301,3,20,,,
,3290,3399,2778,81.73%,255,2038,466,0,19,,,
,4111,3400,2631,77.38%,337,1820,456,1,17,,,
,4125,3213,1950,60.69%,413,1038,457,6,36,,,
,4131,2764,1967,71.16%,271,1354,325,0,17,,,
,4155,3558,2512,70.6%,347,1699,438,0,28,,,
,4178,2828,1734,61.32%,281,1106,325,9,13,,,
,4185,2636,1548,58.73%,270,978,271,2,27,,,
,4362,2491,1425,57.21%,276,839,274,3,33,,,
,TOTAL,31403,21465,68.35%,3171,14150,3857,28,259,,,
STATE HOUSE 47TH DISTRICT,Precinct,Voters,Trnout,Pct,JEFF MERKLEY (DEM),Under Votes,Over Votes,Write-ins,,,,
,3311,2991,1889,63.16%,1078,735,1,75,,,,
,3322,2209,1545,69.94%,857,631,0,57,,,,
,3327,1970,1265,64.21%,736,468,0,61,,,,
,3329,3470,2459,70.86%,1322,1038,0,99,,,,
,3330,3450,2375,68.84%,1315,986,1,73,,,,
,4320,2077,1395,67.16%,768,559,0,68,,,,
,4333,3161,1960,62.01%,1189,677,2,92,,,,
,4338,3285,1993,60.67%,1121,775,1,96,,,,
,4344,2444,1471,60.19%,875,526,1,69,,,,
,4345,3668,2173,59.24%,1236,839,1,97,,,,
,TOTAL,28725,18525,64.49%,10497,7234,7,787,,,,
STATE HOUSE 48TH DISTRICT,Precinct,Voters,Trnout,Pct,JEREMY BOWEN (CON),MIKE SCHAUFLER (DEM),MICHAEL R. WRATHELL (REP),Under Votes,Over Votes,Write-ins,,
,4309,2397,1465,61.12%,76,677,560,136,5,11,,
,4339,3514,1966,55.95%,119,1056,563,198,3,27,,
,4340,2160,1177,54.49%,76,631,329,129,0,12,,
,4350,3753,2183,58.17%,103,1120,696,243,3,18,,
,4352,2228,1187,53.28%,74,651,338,114,1,9,,
,4359,1643,1052,64.03%,42,478,416,107,2,7,,
,4360,2329,1306,56.08%,74,680,413,123,0,16,,
,4361,3267,1886,57.73%,115,974,573,199,4,21,,
,5605,140,94,67.14%,3,41,46,4,0,0,,
,TOTAL,21431,12316,57.47%,682,6308,3934,1253,18,121,,
STATE HOUSE 49TH DISTRICT,Precinct,Voters,Trnout,Pct,KAREN MINNIS (REP),PAMELA SPRADLING (DEM),Under Votes,Over Votes,Write-ins,,,
,0543,37,11,29.73%,4,7,0,0,0,,,
,0547,53,38,71.7%,23,10,5,0,0,,,
,5100,3339,1977,59.21%,1110,725,137,0,5,,,
,5200,3922,2436,62.11%,1410,820,191,2,13,,,
,5201,3250,2190,67.38%,1254,738,181,1,16,,,
,5301,1336,736,55.09%,425,259,49,0,3,,,
,5401,402,279,69.4%,144,110,24,1,0,,,
,5820,4163,2521,60.56%,1358,928,225,1,9,,,
,5850,2126,1265,59.5%,694,454,109,5,3,,,
,5868,2647,1632,61.65%,925,559,137,2,9,,,
,5870,3241,1965,60.63%,1036,738,179,2,10,,,
,5871,2039,988,48.46%,485,432,64,2,5,,,
,TOTAL,26555,16038,60.4%,8868,5780,1301,16,73,,,
STATE HOUSE 50TH DISTRICT,Precinct,Voters,Trnout,Pct,LAURIE MONNES ANDERSON (DEM),ERNEST J. HODGIN (REP),Under Votes,Over Votes,Write-ins,,,
,5819,3299,1959,59.38%,1123,624,200,1,11,,,
,5828,3506,1939,55.31%,1097,653,174,0,15,,,
,5842,4258,2989,70.2%,1723,967,284,2,13,,,
,5846,4292,2926,68.17%,1491,1147,274,5,9,,,
,5851,4047,2655,65.6%,1346,1062,232,6,9,,,
,5853,3389,2214,65.33%,1267,738,200,0,9,,,
,5855,3719,2554,68.67%,1408,864,267,1,14,,,
,5861,2545,1611,63.3%,913,544,147,1,6,,,
,TOTAL,29055,18847,64.87%,10368,6599,1778,16,86,,,
STATE HOUSE 51ST DISTRICT,Precinct,Voters,Trnout,Pct,LINDA FLORES (REP),JAN LEE (DEM),Under Votes,Over Votes,Write-ins,,,
,4216,1281,699,54.57%,328,331,34,0,6,,,
,5602,353,249,70.54%,150,82,14,0,3,,,
,TOTAL,1634,948,58.02%,478,413,48,0,9,,,
STATE HOUSE 52ND DISTRICT,Precinct,Voters,Trnout,Pct,LARRY CRAMBLETT (DEM),PATTI SMITH (REP),Under Votes,Over Votes,Write-ins,,,
,5425,2510,1745,69.52%,558,1109,67,4,7,,,
,5604,2101,1478,70.35%,429,939,103,1,6,,,
,TOTAL,4611,3223,69.9%,987,2048,170,5,13,,,
