"ContestOrder","Contest","Contest ID","Choice","BallotsWith Contest","Votes","Overvoted WithVote for this Choice","Undervoted WithoutVote for this Choice","Ballots WithVotes for Others"
"100.00","US Senator (DEM) (Vote for 1)","77","Ron Wyden","141,291","126,114","11","3,567","11,599"
"100.00","US Senator (DEM) (Vote for 1)","77","William E Barlow III","141,291","8,063","9","3,567","129,652"
"100.00","US Senator (DEM) (Vote for 1)","77","Brent Thompson","141,291","3,121","6","3,567","134,597"
"100.00","US Senator (DEM) (Vote for 1)","77","Write-in","141,291","413","1","3,567","137,310"
"101.00","US Senator (REP) (Vote for 1)","78","Jo Rae Perkins","27,133","7,563","2","3,223","16,345"
"101.00","US Senator (REP) (Vote for 1)","78","Darin Harbick","27,133","7,121","6","3,223","16,783"
"101.00","US Senator (REP) (Vote for 1)","78","Sam Palmer","27,133","2,715","3","3,223","21,192"
"101.00","US Senator (REP) (Vote for 1)","78","Christopher C Christensen","27,133","2,620","0","3,223","21,290"
"101.00","US Senator (REP) (Vote for 1)","78","Jason Beebe","27,133","2,382","4","3,223","21,524"
"101.00","US Senator (REP) (Vote for 1)","78","Ibra A Taher","27,133","712","1","3,223","23,197"
"101.00","US Senator (REP) (Vote for 1)","78","Robert M Fleming","27,133","467","0","3,223","23,443"
"101.00","US Senator (REP) (Vote for 1)","78","Write-in","27,133","320","4","3,223","23,586"
"150.00","US Representative, 1st District (DEM) (Vote for 1)","71","Suzanne Bonamici","35,061","30,437","0","1,622","3,002"
"150.00","US Representative, 1st District (DEM) (Vote for 1)","71","Scott Phillips","35,061","2,324","0","1,622","31,115"
"150.00","US Representative, 1st District (DEM) (Vote for 1)","71","Christian Robertson","35,061","637","0","1,622","32,802"
"150.00","US Representative, 1st District (DEM) (Vote for 1)","71","Write-in","35,061","41","0","1,622","33,398"
"151.00","US Representative, 1st District (REP) (Vote for 1)","72","Christopher A Mann","4,127","1,562","0","1,815","750"
"151.00","US Representative, 1st District (REP) (Vote for 1)","72","Armidia (Army) Murray","4,127","650","0","1,815","1,662"
"151.00","US Representative, 1st District (REP) (Vote for 1)","72","Write-in","4,127","100","0","1,815","2,212"
"160.00","US Representative, 3rd District (DEM) (Vote for 1)","73","Earl Blumenauer","95,328","86,712","12","3,727","4,877"
"160.00","US Representative, 3rd District (DEM) (Vote for 1)","73","Jonathan E Polhemus","95,328","4,537","11","3,727","87,053"
"160.00","US Representative, 3rd District (DEM) (Vote for 1)","73","Write-in","95,328","340","1","3,727","91,260"
"161.00","US Representative, 3rd District (REP) (Vote for 1)","74","Joanna Harbour","21,155","11,749","1","9,096","309"
"161.00","US Representative, 3rd District (REP) (Vote for 1)","74","Write-in","21,155","309","1","9,096","11,749"
"170.00","US Representative, 5th District (DEM) (Vote for 1)","75","Jamie McLeod-Skinner","10,902","6,323","2","283","4,294"
"170.00","US Representative, 5th District (DEM) (Vote for 1)","75","Kurt Schrader","10,902","4,269","2","283","6,348"
"170.00","US Representative, 5th District (DEM) (Vote for 1)","75","Write-in","10,902","25","0","283","10,594"
"171.00","US Representative, 5th District (REP) (Vote for 1)","76","Lori Chavez-DeRemer","1,851","669","0","167","1,015"
"171.00","US Representative, 5th District (REP) (Vote for 1)","76","Jimmy Crumpacker","1,851","589","0","167","1,095"
"171.00","US Representative, 5th District (REP) (Vote for 1)","76","John Di Paola","1,851","288","0","167","1,396"
"171.00","US Representative, 5th District (REP) (Vote for 1)","76","Laurel L Roses","1,851","93","0","167","1,591"
"171.00","US Representative, 5th District (REP) (Vote for 1)","76","Madison Oatman","1,851","30","0","167","1,654"
"171.00","US Representative, 5th District (REP) (Vote for 1)","76","Write-in","1,851","15","0","167","1,669"
"200.00","Governor (DEM) (Vote for 1)","5","Tina Kotek","141,247","90,179","18","2,503","48,547"
"200.00","Governor (DEM) (Vote for 1)","5","Tobias Read","141,247","37,186","21","2,503","101,537"
"200.00","Governor (DEM) (Vote for 1)","5","Patrick E Starnes","141,247","1,948","6","2,503","136,790"
"200.00","Governor (DEM) (Vote for 1)","5","Write-in","141,247","1,903","5","2,503","136,836"
"200.00","Governor (DEM) (Vote for 1)","5","George L Carrillo","141,247","1,889","5","2,503","136,850"
"200.00","Governor (DEM) (Vote for 1)","5","Michael Trimble","141,247","1,402","3","2,503","137,339"
"200.00","Governor (DEM) (Vote for 1)","5","Julian Bell","141,247","932","5","2,503","137,807"
"200.00","Governor (DEM) (Vote for 1)","5","John Sweeney","141,247","766","5","2,503","137,973"
"200.00","Governor (DEM) (Vote for 1)","5","Wilson R Bright","141,247","659","4","2,503","138,081"
"200.00","Governor (DEM) (Vote for 1)","5","Keisha Lanell Merchant","141,247","420","2","2,503","138,322"
"200.00","Governor (DEM) (Vote for 1)","5","Dave W Stauffer","141,247","384","2","2,503","138,358"
"200.00","Governor (DEM) (Vote for 1)","5","Ifeanyichukwu C Diru","141,247","344","3","2,503","138,397"
"200.00","Governor (DEM) (Vote for 1)","5","Genevieve Wilson H","141,247","212","2","2,503","138,530"
"200.00","Governor (DEM) (Vote for 1)","5","David Beem","141,247","185","3","2,503","138,556"
"200.00","Governor (DEM) (Vote for 1)","5","Michael Cross","141,247","180","3","2,503","138,561"
"200.00","Governor (DEM) (Vote for 1)","5","Peter W Hall","141,247","125","5","2,503","138,614"
"201.00","Governor (REP) (Vote for 1)","6","Christine Drazan","27,130","5,554","4","674","20,898"
"201.00","Governor (REP) (Vote for 1)","6","Bob Tiernan","27,130","4,735","4","674","21,717"
"201.00","Governor (REP) (Vote for 1)","6","Stan Pulliam","27,130","4,336","2","674","22,118"
"201.00","Governor (REP) (Vote for 1)","6","Bridget Barton","27,130","3,198","2","674","23,256"
"201.00","Governor (REP) (Vote for 1)","6","Bud Pierce","27,130","2,062","2","674","24,392"
"201.00","Governor (REP) (Vote for 1)","6","Marc Thielman","27,130","1,648","2","674","24,806"
"201.00","Governor (REP) (Vote for 1)","6","Bill Sizemore","27,130","1,082","2","674","25,372"
"201.00","Governor (REP) (Vote for 1)","6","Jessica Gomez","27,130","970","2","674","25,484"
"201.00","Governor (REP) (Vote for 1)","6","Kerry McQuisten","27,130","739","1","674","25,716"
"201.00","Governor (REP) (Vote for 1)","6","Write-in","27,130","578","4","674","25,874"
"201.00","Governor (REP) (Vote for 1)","6","Nick Hess","27,130","408","1","674","26,047"
"201.00","Governor (REP) (Vote for 1)","6","Tim McCloud","27,130","354","0","674","26,102"
"201.00","Governor (REP) (Vote for 1)","6","Brandon C Merritt","27,130","185","2","674","26,269"
"201.00","Governor (REP) (Vote for 1)","6","Reed Christensen","27,130","159","0","674","26,297"
"201.00","Governor (REP) (Vote for 1)","6","Amber R Richardson","27,130","158","2","674","26,296"
"201.00","Governor (REP) (Vote for 1)","6","Court Boice","27,130","147","1","674","26,308"
"201.00","Governor (REP) (Vote for 1)","6","Raymond Baldwin","27,130","46","1","674","26,409"
"201.00","Governor (REP) (Vote for 1)","6","David A Burch","27,130","46","3","674","26,407"
"201.00","Governor (REP) (Vote for 1)","6","John G Presco","27,130","21","1","674","26,434"
"201.00","Governor (REP) (Vote for 1)","6","Stefan G Strek (Stregoi)","27,130","15","2","674","26,439"
"250.00","State Senator, 16th District (DEM) (Vote for 1)","61","Melissa Busch","536","347","0","188","1"
"250.00","State Senator, 16th District (DEM) (Vote for 1)","61","Write-in","536","1","0","188","347"
"251.00","State Senator, 16th District (REP) (Vote for 1)","62","Suzanne Weber","274","144","0","126","4"
"251.00","State Senator, 16th District (REP) (Vote for 1)","62","Write-in","274","4","0","126","144"
"260.00","State Senator, 17th District (DEM) (Vote for 1)","63","Elizabeth Steiner Hayward","12,122","8,829","0","3,244","49"
"260.00","State Senator, 17th District (DEM) (Vote for 1)","63","Write-in","12,122","49","0","3,244","8,829"
"261.00","State Senator, 17th District (REP) (Vote for 1)","64","John Verbeek","1,389","772","0","603","14"
"261.00","State Senator, 17th District (REP) (Vote for 1)","64","Write-in","1,389","14","0","603","772"
"270.00","State Senator, 19th District (DEM) (Vote for 1)","65","Rob Wagner","7,624","5,403","0","2,175","46"
"270.00","State Senator, 19th District (DEM) (Vote for 1)","65","Write-in","7,624","46","0","2,175","5,403"
"271.00","State Senator, 19th District (REP) (Vote for 1)","66","Ben Edtl","1,431","736","0","329","366"
"271.00","State Senator, 19th District (REP) (Vote for 1)","66","Wendy O'Riley","1,431","355","0","329","747"
"271.00","State Senator, 19th District (REP) (Vote for 1)","66","Write-in","1,431","11","0","329","1,091"
"280.00","State Senator, 24th District (DEM) (Vote for 1)","67","Kayse Jama","11,360","7,894","1","3,403","62"
"280.00","State Senator, 24th District (DEM) (Vote for 1)","67","Write-in","11,360","62","1","3,403","7,894"
"281.00","State Senator, 24th District (REP) (Vote for 1)","68","Stan Catherman","4,873","2,568","0","2,228","77"
"281.00","State Senator, 24th District (REP) (Vote for 1)","68","Write-in","4,873","77","0","2,228","2,568"
"290.00","State Senator, 26th District (DEM) (Vote for 1)","69","Raz Mason","1,162","780","0","363","19"
"290.00","State Senator, 26th District (DEM) (Vote for 1)","69","Write-in","1,162","19","0","363","780"
"291.00","State Senator, 26th District (REP) (Vote for 1)","70","Daniel G Bonham","1,384","830","0","146","408"
"291.00","State Senator, 26th District (REP) (Vote for 1)","70","Steve Bates","1,384","294","0","146","944"
"291.00","State Senator, 26th District (REP) (Vote for 1)","70","Michael J Nugent","1,384","112","0","146","1,126"
"291.00","State Senator, 26th District (REP) (Vote for 1)","70","Write-in","1,384","2","0","146","1,236"
"300.00","State Representative, 28th District (DEM) (Vote for 1)","29","Dacia Grayber","12,649","8,448","0","4,164","37"
"300.00","State Representative, 28th District (DEM) (Vote for 1)","29","Write-in","12,649","37","0","4,164","8,448"
"301.00","State Representative, 28th District (REP) (Vote for 1)","30","Patrick Castles","1,861","755","0","523","583"
"301.00","State Representative, 28th District (REP) (Vote for 1)","30","Charles Mengis","1,861","563","0","523","775"
"301.00","State Representative, 28th District (REP) (Vote for 1)","30","Write-in","1,861","20","0","523","1,318"
"310.00","State Representative, 31st District (DEM) (Vote for 1)","31","Anthony Sorace","536","315","0","220","1"
"310.00","State Representative, 31st District (DEM) (Vote for 1)","31","Write-in","536","1","0","220","315"
"311.00","State Representative, 31st District (REP) (Vote for 1)","32","Brian G Stout","274","137","0","55","82"
"311.00","State Representative, 31st District (REP) (Vote for 1)","32","Drew A Layda","274","80","0","55","139"
"311.00","State Representative, 31st District (REP) (Vote for 1)","32","Write-in","274","2","0","55","217"
"320.00","State Representative, 33rd District (DEM) (Vote for 1)","33","Maxine E Dexter","11,867","8,573","0","3,246","48"
"320.00","State Representative, 33rd District (DEM) (Vote for 1)","33","Write-in","11,867","48","0","3,246","8,573"
"321.00","State Representative, 33rd District (REP) (Vote for 1)","34","Stan Baumhofer","1,340","747","0","585","8"
"321.00","State Representative, 33rd District (REP) (Vote for 1)","34","Write-in","1,340","8","0","585","747"
"330.00","State Representative, 34th District (DEM) (Vote for 1)","35","Lisa Reynolds","255","203","0","28","24"
"330.00","State Representative, 34th District (DEM) (Vote for 1)","35","Jennifer Kinzey","255","24","0","28","203"
"330.00","State Representative, 34th District (DEM) (Vote for 1)","35","Write-in","255","0","0","28","227"
"331.00","State Representative, 34th District (REP) (Vote for 1)","36","John Woods","49","31","0","16","2"
"331.00","State Representative, 34th District (REP) (Vote for 1)","36","Write-in","49","2","0","16","31"
"340.00","State Representative, 38th District (DEM) (Vote for 1)","37","Neelam Gupta","7,624","3,666","0","603","3,355"
"340.00","State Representative, 38th District (DEM) (Vote for 1)","37","Daniel Nguyen","7,624","3,340","0","603","3,681"
"340.00","State Representative, 38th District (DEM) (Vote for 1)","37","Write-in","7,624","15","0","603","7,006"
"341.00","State Representative, 38th District (REP) (Vote for 1)","38","Alistair Firmin","1,431","742","0","674","15"
"341.00","State Representative, 38th District (REP) (Vote for 1)","38","Write-in","1,431","15","0","674","742"
"350.00","State Representative, 41st District (DEM) (Vote for 1)","39","Mark F Gamba","9,068","5,835","2","798","2,433"
"350.00","State Representative, 41st District (DEM) (Vote for 1)","39","Kaliko Castille","9,068","2,319","2","798","5,949"
"350.00","State Representative, 41st District (DEM) (Vote for 1)","39","Christopher A Draus","9,068","95","0","798","8,175"
"350.00","State Representative, 41st District (DEM) (Vote for 1)","39","Write-in","9,068","19","0","798","8,251"
"351.00","State Representative, 41st District (REP) (Vote for 1)","40","Bob (Elvis) Clark","848","357","0","154","337"
"351.00","State Representative, 41st District (REP) (Vote for 1)","40","Rob Reynolds","848","220","0","154","474"
"351.00","State Representative, 41st District (REP) (Vote for 1)","40","Rene Gomez","848","111","0","154","583"
"351.00","State Representative, 41st District (REP) (Vote for 1)","40","Write-in","848","6","0","154","688"
"360.00","State Representative, 42nd District (DEM) (Vote for 1)","41","Rob Nosse","17,694","13,139","0","4,428","127"
"360.00","State Representative, 42nd District (DEM) (Vote for 1)","41","Write-in","17,694","127","0","4,428","13,139"
"361.00","State Representative, 42nd District (REP) (Vote for 1)","42","Scott Trahan","862","441","0","405","16"
"361.00","State Representative, 42nd District (REP) (Vote for 1)","42","Write-in","862","16","0","405","441"
"370.00","State Representative, 43rd District (DEM) (Vote for 1)","43","Tawna Sanchez","17,669","13,247","0","4,334","88"
"370.00","State Representative, 43rd District (DEM) (Vote for 1)","43","Write-in","17,669","88","0","4,334","13,247"
"371.00","State Representative, 43rd District (REP) (Vote for 1)","44","Tim LeMaster","884","449","0","424","11"
"371.00","State Representative, 43rd District (REP) (Vote for 1)","44","Write-in","884","11","0","424","449"
"380.00","State Representative, 44th District (DEM) (Vote for 1)","45","Travis Nelson","13,224","10,271","1","1,979","973"
"380.00","State Representative, 44th District (DEM) (Vote for 1)","45","Eric Delehoy","13,224","948","1","1,979","10,296"
"380.00","State Representative, 44th District (DEM) (Vote for 1)","45","Write-in","13,224","25","0","1,979","11,220"
"381.00","State Representative, 44th District (REP) (Vote for 1)","46","Write-in","1,279","96","0","1,183","0"
"390.00","State Representative, 45th District (DEM) (Vote for 1)","47","Thuy Tran","15,913","10,657","1","1,234","4,021"
"390.00","State Representative, 45th District (DEM) (Vote for 1)","47","Catherine Thomasson","15,913","4,010","1","1,234","10,668"
"390.00","State Representative, 45th District (DEM) (Vote for 1)","47","Write-in","15,913","11","0","1,234","14,668"
"391.00","State Representative, 45th District (REP) (Vote for 1)","48","Write-in","2,115","186","0","1,929","0"
"400.00","State Representative, 46th District (DEM) (Vote for 1)","49","Khanh Pham","11,626","8,424","0","3,141","61"
"400.00","State Representative, 46th District (DEM) (Vote for 1)","49","Write-in","11,626","61","0","3,141","8,424"
"401.00","State Representative, 46th District (REP) (Vote for 1)","50","Timothy R Sytsma","1,625","789","0","803","33"
"401.00","State Representative, 46th District (REP) (Vote for 1)","50","Write-in","1,625","33","0","803","789"
"410.00","State Representative, 47th District (DEM) (Vote for 1)","51","Andrea Valderrama","7,203","4,891","0","2,281","31"
"410.00","State Representative, 47th District (DEM) (Vote for 1)","51","Write-in","7,203","31","0","2,281","4,891"
"411.00","State Representative, 47th District (REP) (Vote for 1)","52","Write-in","2,813","182","0","2,631","0"
"420.00","State Representative, 48th District (DEM) (Vote for 1)","53","Hoa H Nguyen","4,157","2,878","1","1,246","32"
"420.00","State Representative, 48th District (DEM) (Vote for 1)","53","Write-in","4,157","32","1","1,246","2,878"
"421.00","State Representative, 48th District (REP) (Vote for 1)","54","John Masterman","2,060","1,294","0","741","25"
"421.00","State Representative, 48th District (REP) (Vote for 1)","54","Write-in","2,060","25","0","741","1,294"
"430.00","State Representative, 49th District (DEM) (Vote for 1)","55","Zach Hudson","4,859","3,342","0","1,467","50"
"430.00","State Representative, 49th District (DEM) (Vote for 1)","55","Write-in","4,859","50","0","1,467","3,342"
"431.00","State Representative, 49th District (REP) (Vote for 1)","56","Randy E Lauer","3,702","2,301","0","1,380","21"
"431.00","State Representative, 49th District (REP) (Vote for 1)","56","Write-in","3,702","21","0","1,380","2,301"
"440.00","State Representative, 50th District (DEM) (Vote for 1)","57","Ricki Ruiz","5,741","4,175","0","1,519","47"
"440.00","State Representative, 50th District (DEM) (Vote for 1)","57","Write-in","5,741","47","0","1,519","4,175"
"441.00","State Representative, 50th District (REP) (Vote for 1)","58","Amelia Salvador","4,603","2,715","0","1,852","36"
"441.00","State Representative, 50th District (REP) (Vote for 1)","58","Write-in","4,603","36","0","1,852","2,715"
"450.00","State Representative, 52nd District (DEM) (Vote for 1)","59","Darcy Long","1,162","772","0","371","19"
"450.00","State Representative, 52nd District (DEM) (Vote for 1)","59","Write-in","1,162","19","0","371","772"
"451.00","State Representative, 52nd District (REP) (Vote for 1)","60","Jeff Helfrich","1,384","1,008","0","156","220"
"451.00","State Representative, 52nd District (REP) (Vote for 1)","60","James Born","1,384","182","0","156","1,046"
"451.00","State Representative, 52nd District (REP) (Vote for 1)","60","Britt Storkson","1,384","37","0","156","1,191"
"451.00","State Representative, 52nd District (REP) (Vote for 1)","60","Write-in","1,384","1","0","156","1,227"
"500.00","Commissioner of the Bureau of Labor and Industries (Vote for 1)","4","Christina E Stephenson","203,883","120,918","22","31,073","51,870"
"500.00","Commissioner of the Bureau of Labor and Industries (Vote for 1)","4","Casey M Kulla","203,883","17,827","14","31,073","154,969"
"500.00","Commissioner of the Bureau of Labor and Industries (Vote for 1)","4","Cheri Helt","203,883","15,943","16","31,073","156,851"
"500.00","Commissioner of the Bureau of Labor and Industries (Vote for 1)","4","Brent T Barker","203,883","9,596","8","31,073","163,206"
"500.00","Commissioner of the Bureau of Labor and Industries (Vote for 1)","4","Robert Neuman","203,883","3,468","8","31,073","169,334"
"500.00","Commissioner of the Bureau of Labor and Industries (Vote for 1)","4","Chris Henry","203,883","2,977","10","31,073","169,823"
"500.00","Commissioner of the Bureau of Labor and Industries (Vote for 1)","4","Aaron R Baca","203,883","1,643","10","31,073","171,157"
"500.00","Commissioner of the Bureau of Labor and Industries (Vote for 1)","4","Write-in","203,883","408","2","31,073","172,400"
"550.00","Judge of the Supreme Court, Position 6 (Vote for 1)","18","Roger J DeHoog","203,883","111,754","0","90,657","1,472"
"550.00","Judge of the Supreme Court, Position 6 (Vote for 1)","18","Write-in","203,883","1,472","0","90,657","111,754"
"560.00","Judge of the Court of Appeals, Position 3 (Vote for 1)","15","Darleen Ortega","203,883","129,479","31","44,480","29,893"
"560.00","Judge of the Court of Appeals, Position 3 (Vote for 1)","15","Vance Day","203,883","29,515","35","44,480","129,853"
"560.00","Judge of the Court of Appeals, Position 3 (Vote for 1)","15","Write-in","203,883","374","4","44,480","159,025"
"561.00","Judge of the Court of Appeals, Position 5 (Vote for 1)","16","Scott A Shorr","203,883","109,933","2","92,556","1,392"
"561.00","Judge of the Court of Appeals, Position 5 (Vote for 1)","16","Write-in","203,883","1,392","2","92,556","109,933"
"562.00","Judge of the Court of Appeals, Position 8 (Vote for 1)","17","Ramón A Pagán","203,883","109,989","2","92,499","1,393"
"562.00","Judge of the Court of Appeals, Position 8 (Vote for 1)","17","Write-in","203,883","1,393","2","92,499","109,989"
"570.00","Judge of the Circuit Court, 4th District, Position 6 (Vote for 1)","13","Leslie G Bottomly","203,883","106,152","1","96,279","1,451"
"570.00","Judge of the Circuit Court, 4th District, Position 6 (Vote for 1)","13","Write-in","203,883","1,451","1","96,279","106,152"
"571.00","Judge of the Circuit Court, 4th District, Position 9 (Vote for 1)","14","David F Rees","203,883","104,899","0","97,582","1,402"
"571.00","Judge of the Circuit Court, 4th District, Position 9 (Vote for 1)","14","Write-in","203,883","1,402","0","97,582","104,899"
"572.00","Judge of the Circuit Court, 4th District, Position 17 (Vote for 1)","7","Kelly Skye","203,883","105,141","0","97,335","1,407"
"572.00","Judge of the Circuit Court, 4th District, Position 17 (Vote for 1)","7","Write-in","203,883","1,407","0","97,335","105,141"
"573.00","Judge of the Circuit Court, 4th District, Position 20 (Vote for 1)","8","Eric J Bloch","203,883","105,051","1","97,489","1,342"
"573.00","Judge of the Circuit Court, 4th District, Position 20 (Vote for 1)","8","Write-in","203,883","1,342","1","97,489","105,051"
"574.00","Judge of the Circuit Court, 4th District, Position 22 (Vote for 1)","9","Chanpone Sinlapasai","203,883","105,005","1","97,574","1,303"
"574.00","Judge of the Circuit Court, 4th District, Position 22 (Vote for 1)","9","Write-in","203,883","1,303","1","97,574","105,005"
"575.00","Judge of the Circuit Court, 4th District, Position 24 (Vote for 1)","10","Eric L Dahlin","203,882","107,675","0","95,000","1,207"
"575.00","Judge of the Circuit Court, 4th District, Position 24 (Vote for 1)","10","Write-in","203,882","1,207","0","95,000","107,675"
"576.00","Judge of the Circuit Court, 4th District, Position 25 (Vote for 1)","11","Maurisa R Gates","203,882","108,903","0","93,816","1,163"
"576.00","Judge of the Circuit Court, 4th District, Position 25 (Vote for 1)","11","Write-in","203,882","1,163","0","93,816","108,903"
"577.00","Judge of the Circuit Court, 4th District, Position 35 (Vote for 1)","12","Patrick W Henry","203,882","103,944","0","98,651","1,287"
"577.00","Judge of the Circuit Court, 4th District, Position 35 (Vote for 1)","12","Write-in","203,882","1,287","0","98,651","103,944"
"600.00","Multnomah County, Commissioner Chair (Vote for 1)","27","Jessica Vega Pederson","203,882","77,529","23","19,010","107,320"
"600.00","Multnomah County, Commissioner Chair (Vote for 1)","27","Sharon Meieran","203,882","33,651","22","19,010","151,199"
"600.00","Multnomah County, Commissioner Chair (Vote for 1)","27","Sharia Mayfield","203,882","27,713","13","19,010","157,146"
"600.00","Multnomah County, Commissioner Chair (Vote for 1)","27","Lori Stegmann","203,882","23,210","19","19,010","161,643"
"600.00","Multnomah County, Commissioner Chair (Vote for 1)","27","Bruce Broussard","203,882","12,895","11","19,010","171,966"
"600.00","Multnomah County, Commissioner Chair (Vote for 1)","27","Joe Demers","203,882","9,544","4","19,010","175,324"
"600.00","Multnomah County, Commissioner Chair (Vote for 1)","27","Write-in","203,882","290","2","19,010","184,580"
"610.00","Multnomah County Commissioner, District 2 (Vote for 1)","25","Susheela Jayapal","58,975","41,616","6","6,504","10,849"
"610.00","Multnomah County Commissioner, District 2 (Vote for 1)","25","Derry Jackson","58,975","6,883","6","6,504","45,582"
"610.00","Multnomah County Commissioner, District 2 (Vote for 1)","25","Elizabeth Taylor","58,975","3,806","5","6,504","48,660"
"610.00","Multnomah County Commissioner, District 2 (Vote for 1)","25","Write-in","58,975","157","1","6,504","52,313"
"620.00","Multnomah County, Auditor (Vote for 1)","26","Jennifer McGuirk","203,882","113,496","3","89,172","1,211"
"620.00","Multnomah County, Auditor (Vote for 1)","26","Write-in","203,882","1,211","3","89,172","113,496"
"630.00","Multnomah County, Sheriff (Vote for 1)","28","Nicole Morrisey O'Donnell","203,882","110,796","7","24,233","68,846"
"630.00","Multnomah County, Sheriff (Vote for 1)","28","Derrick Peterson","203,882","60,561","8","24,233","119,080"
"630.00","Multnomah County, Sheriff (Vote for 1)","28","Nicholas Alberts","203,882","7,487","8","24,233","172,154"
"630.00","Multnomah County, Sheriff (Vote for 1)","28","Write-in","203,882","794","1","24,233","178,854"
"650.00","City of Portland, Auditor (Vote for 1)","1","Simone Rede","173,685","119,978","12","24,111","29,584"
"650.00","City of Portland, Auditor (Vote for 1)","1","Brian Setzler","173,685","29,259","12","24,111","120,303"
"650.00","City of Portland, Auditor (Vote for 1)","1","Write-in","173,685","324","2","24,111","149,248"
"700.00","City of Portland, Commissioner, Position 2 (Vote for 1)","2","Dan Ryan","173,685","88,955","91","10,417","74,222"
"700.00","City of Portland, Commissioner, Position 2 (Vote for 1)","2","Alanna (AJ) McCreary","173,685","45,607","89","10,417","117,572"
"700.00","City of Portland, Commissioner, Position 2 (Vote for 1)","2","Sandeep Bali","173,685","12,839","42","10,417","150,387"
"700.00","City of Portland, Commissioner, Position 2 (Vote for 1)","2","Steven B Cox","173,685","4,784","19","10,417","158,465"
"700.00","City of Portland, Commissioner, Position 2 (Vote for 1)","2","Chris Brummer","173,685","3,815","25","10,417","159,428"
"700.00","City of Portland, Commissioner, Position 2 (Vote for 1)","2","Renee Stephens","173,685","3,278","22","10,417","159,968"
"700.00","City of Portland, Commissioner, Position 2 (Vote for 1)","2","Michael Simpson","173,685","1,746","15","10,417","161,507"
"700.00","City of Portland, Commissioner, Position 2 (Vote for 1)","2","Sophie Sumney-Koivisto","173,685","1,307","11","10,417","161,950"
"700.00","City of Portland, Commissioner, Position 2 (Vote for 1)","2","Write-in","173,685","456","2","10,417","162,810"
"700.00","City of Portland, Commissioner, Position 2 (Vote for 1)","2","Avraham Cox","173,685","325","4","10,417","162,939"
"710.00","City of Portland, Commissioner, Position 3 (Vote for 1)","3","Jo Ann Hardesty","173,685","72,999","33","6,869","93,784"
"710.00","City of Portland, Commissioner, Position 3 (Vote for 1)","3","Rene González","173,685","38,517","28","6,869","128,271"
"710.00","City of Portland, Commissioner, Position 3 (Vote for 1)","3","Vadim Mozyrsky","173,685","37,088","20","6,869","129,708"
"710.00","City of Portland, Commissioner, Position 3 (Vote for 1)","3","Joseph Whitcomb","173,685","6,820","17","6,869","159,979"
"710.00","City of Portland, Commissioner, Position 3 (Vote for 1)","3","Kim Kasch","173,685","4,536","28","6,869","162,252"
"710.00","City of Portland, Commissioner, Position 3 (Vote for 1)","3","Peggy Sue Owens","173,685","2,036","14","6,869","164,766"
"710.00","City of Portland, Commissioner, Position 3 (Vote for 1)","3","Ed Baker","173,685","1,217","10","6,869","165,589"
"710.00","City of Portland, Commissioner, Position 3 (Vote for 1)","3","Jeffrey A Wilebski","173,685","1,071","9","6,869","165,736"
"710.00","City of Portland, Commissioner, Position 3 (Vote for 1)","3","Dale Hardt","173,685","851","3","6,869","165,962"
"710.00","City of Portland, Commissioner, Position 3 (Vote for 1)","3","Chad Leisey","173,685","753","11","6,869","166,052"
"710.00","City of Portland, Commissioner, Position 3 (Vote for 1)","3","Karellen Stephens","173,685","649","6","6,869","166,161"
"710.00","City of Portland, Commissioner, Position 3 (Vote for 1)","3","Write-in","173,685","206","4","6,869","166,606"
"800.00","Metro Council President (Vote for 1)","20","Lynn Peterson","201,542","103,535","21","23,629","74,357"
"800.00","Metro Council President (Vote for 1)","20","Alisa Pyszka","201,542","56,002","19","23,629","121,892"
"800.00","Metro Council President (Vote for 1)","20","Gregory A Horner","201,542","9,270","3","23,629","168,640"
"800.00","Metro Council President (Vote for 1)","20","Gary Lyndon Dye","201,542","8,669","7","23,629","169,237"
"800.00","Metro Council President (Vote for 1)","20","Write-in","201,542","414","0","23,629","177,499"
"810.00","Metro Auditor (Vote for 1)","19","Brian Evans","201,542","110,510","2","89,729","1,301"
"810.00","Metro Auditor (Vote for 1)","19","Write-in","201,542","1,301","2","89,729","110,510"
"820.00","Metro Councilor, District 1 (Vote for 1)","21","Ashton Simpson","41,601","23,201","1","18,070","329"
"820.00","Metro Councilor, District 1 (Vote for 1)","21","Write-in","41,601","329","1","18,070","23,201"
"830.00","Metro Councilor, District 2 (Vote for 1)","22","Christine Lewis","7,775","5,147","0","1,382","1,246"
"830.00","Metro Councilor, District 2 (Vote for 1)","22","Mei Wong","7,775","1,234","0","1,382","5,159"
"830.00","Metro Councilor, District 2 (Vote for 1)","22","Write-in","7,775","12","0","1,382","6,381"
"850.00","Metro Councilor, District 6 (Vote for 1)","24","Duncan Hwang","78,032","45,044","6","12,679","20,303"
"850.00","Metro Councilor, District 6 (Vote for 1)","24","Terri Preeg Riggsby","78,032","20,098","6","12,679","45,249"
"850.00","Metro Councilor, District 6 (Vote for 1)","24","Write-in","78,032","205","0","12,679","65,148"
"900.00","Question 26-223 (Vote for 1)","79","Yes","18,437","12,306","1","1,078","5,052"
"900.00","Question 26-223 (Vote for 1)","79","No","18,437","5,052","1","1,078","12,306"
"910.00","Question 34-313 (Vote for 1)","80","No","140","68","0","6","66"
"910.00","Question 34-313 (Vote for 1)","80","Yes","140","66","0","6","68"