President (DEM),Precinct,Barack Obama,Write-ins,Trnout,Over Votes,Under Votes,,,
,1,42,8,50,0,5,,,
,2,31,4,35,0,4,,,
,3,17,4,21,0,6,,,
,4,51,16,67,0,14,,,
,5,120,25,145,0,44,,,
,6,70,17,87,0,11,,,
,7,11,3,14,0,0,,,
,8,46,6,52,0,15,,,
,9,7,3,10,0,3,,,
,10,41,10,51,0,8,,,
,11,115,15,130,0,18,,,
,12,5,5,10,0,0,,,
,13,53,9,62,0,12,,,
,14,32,3,35,0,1,,,
,15,64,16,80,0,19,,,
,16,30,10,40,0,13,,,
,17,203,27,230,0,47,,,
,TOTAL,938,181,1119,0,220,,,
House Dist 2 (DEM),Precinct,John Sweeney,Joyce B Segers,Write-ins,Trnout,Over Votes,Under Votes,,
,1,8,35,1,44,0,11,,
,2,8,19,0,27,0,12,,
,3,5,17,1,23,0,4,,
,4,16,41,6,63,0,18,,
,5,41,113,1,155,1,33,,
,6,26,47,1,74,0,24,,
,7,2,8,0,10,0,4,,
,8,13,34,2,49,0,18,,
,9,2,7,1,10,0,3,,
,10,13,35,2,50,0,9,,
,11,24,77,6,107,0,41,,
,12,2,5,0,7,0,3,,
,13,17,40,2,59,0,15,,
,14,9,19,0,28,0,8,,
,15,28,43,4,75,0,24,,
,16,12,29,1,42,0,11,,
,17,70,156,2,228,0,49,,
,TOTAL,296,725,30,1051,1,287,,
Secretary of State (DEM),Precinct,Kate Brown,Paul Damian Wells,Write-ins,Trnout,Over Votes,Under Votes,,
,1,44,3,1,48,0,7,,
,2,30,0,0,30,0,9,,
,3,25,2,0,27,0,0,,
,4,51,11,4,66,0,15,,
,5,140,27,0,167,0,22,,
,6,84,6,,90,0,8,,
,7,11,0,0,11,0,3,,
,8,41,10,1,52,0,15,,
,9,9,3,0,12,0,1,,
,10,39,11,2,52,0,7,,
,11,108,10,4,122,0,26,,
,12,6,1,0,7,0,3,,
,13,51,9,0,60,0,14,,
,14,27,4,0,31,0,5,,
,15,58,21,1,80,0,19,,
,16,37,4,1,42,0,11,,
,17,208,35,1,244,0,33,,
,TOTAL,969,157,15,1141,0,198,,
State Treasurer (DEM),Precinct,Ted Wheeler,Write-ins,Trnout,Over Votes,Under Votes,,,
,1,42,0,42,0,13,,,
,2,27,0,27,0,12,,,
,3,24,0,24,0,3,,,
,4,51,1,52,0,29,,,
,5,152,0,152,0,37,,,
,6,80,0,80,0,18,,,
,7,8,0,8,0,6,,,
,8,46,0,46,0,21,,,
,9,12,0,12,0,1,,,
,10,47,0,47,0,12,,,
,11,107,0,107,0,41,,,
,12,7,0,7,0,3,,,
,13,54,1,55,0,19,,,
,14,26,0,26,0,10,,,
,15,68,2,70,0,29,,,
,16,41,0,41,0,12,,,
,17,205,2,207,0,70,,,
,TOTAL,997,6,1003,0,336,,,
Attorney General (DEM),Precinct,Dwight Holton,Ellen Rosenblum,Write-ins,Trnout,Over Votes,Under Votes,,
,1,16,34,0,50,0,5,,
,2,12,22,0,34,0,5,,
,3,8,18,0,26,0,1,,
,4,22,43,1,66,0,15,,
,5,65,110,1,176,0,13,,
,6,33,58,0,91,0,7,,
,7,4,6,0,10,0,4,,
,8,23,30,0,53,0,14,,
,9,4,7,0,11,0,2,,
,10,25,23,1,49,0,10,,
,11,51,70,0,121,0,27,,
,12,2,5,0,7,0,3,,
,13,27,36,1,64,0,10,,
,14,9,22,0,31,0,5,,
,15,34,47,0,81,0,18,,
,16,18,27,0,45,0,8,,
,17,93,154,1,248,0,29,,
,TOTAL,446,712,5,1163,0,176,,
State Senator Dist 28 (DEM),Precinct,Write-ins,Trnout,Over Votes,Under Votes,,,,
,1,3,3,0,52,,,,
,2,1,1,0,38,,,,
,3,2,2,0,25,,,,
,4,5,5,0,76,,,,
,5,6,6,0,183,,,,
,6,2,2,0,96,,,,
,7,0,0,0,14,,,,
,8,2,2,0,65,,,,
,9,2,2,0,11,,,,
,10,5,5,0,54,,,,
,11,5,5,0,143,,,,
,12,0,0,0,10,,,,
,13,2,2,0,72,,,,
,14,1,1,0,35,,,,
,15,6,6,0,93,,,,
,16,4,4,0,49,,,,
,17,13,13,0,264,,,,
,TOTAL,59,59,0,1280,,,,
State Rep Dist 55 (DEM),Precinct,John Huddle,Write-ins,Trnout,Over Votes,Under Votes,,,
,1,35,1,36,0,19,,,
,2,26,0,26,0,13,,,
,3,20,2,22,0,5,,,
,4,42,7,49,0,32,,,
,5,130,3,133,0,56,,,
,6,70,3,73,0,25,,,
,7,6,0,6,0,8,,,
,8,37,2,39,0,28,,,
,9,10,0,10,0,3,,,
,10,42,3,45,0,14,,,
,11,84,8,92,0,56,,,
,12,6,0,6,0,4,,,
,13,50,0,50,0,24,,,
,14,26,0,26,0,10,,,
,15,60,5,65,0,34,,,
,16,33,1,34,0,19,,,
,17,185,3,188,0,89,,,
,TOTAL,862,38,900,0,439,,,
President (REP),Precinct,Rick Santorum,Ron Paul,Newt Gingrich,Mitt Romney,Write-ins,Trnout,Over Votes,Under Votes
,1,11,10,6,68,5,100,0,5
,2,6,3,3,57,1,70,0,9
,3,2,0,1,16,0,19,0,2
,4,29,28,25,215,2,299,0,13
,5,37,43,26,317,4,427,0,24
,6,5,18,5,115,1,144,0,11
,7,6,4,9,63,0,82,0,3
,8,9,5,8,55,1,78,0,3
,9,7,1,7,40,2,57,0,2
,10,7,5,9,62,2,85,0,1
,11,37,42,32,336,5,452,0,22
,12,3,3,1,21,0,28,0,1
,13,18,17,11,117,2,165,0,4
,14,10,6,2,43,1,62,0,1
,15,19,27,12,158,6,222,0,10
,16,7,15,6,128,1,157,0,13
,17,34,50,18,402,2,506,0,14
,TOTAL,247,277,181,2213,35,2953,0,138
House Dist 2 (REP),Precinct,Greg Walden,Write-ins,Trnout,Over Votes,Under Votes,,,
,1,96,0,96,0,9,,,
,2,67,3,70,0,9,,,
,3,17,0,17,0,4,,,
,4,260,1,261,0,51,,,
,5,380,2,382,0,69,,,
,6,138,0,138,0,17,,,
,7,71,0,71,0,14,,,
,8,66,1,67,0,14,,,
,9,51,0,51,0,8,,,
,10,74,2,76,0,10,,,
,11,419,4,423,0,51,,,
,12,21,0,21,0,8,,,
,13,147,0,147,0,22,,,
,14,56,1,57,0,6,,,
,15,192,4,196,0,36,,,
,16,146,1,147,0,23,,,
,17,452,3,455,0,65,,,
,TOTAL,2653,22,2675,0,416,,,
Secretary of State (REP),Precinct,Knute Buehler,Write-ins,Trnout,Over Votes,Under Votes,,,
,1,83,0,83,0,23,,,
,2,57,3,60,0,22,,,
,3,15,0,15,0,6,,,
,4,211,3,214,0,103,,,
,5,328,2,330,0,125,,,
,6,116,2,118,0,39,,,
,7,44,0,44,0,42,,,
,8,64,1,65,0,19,,,
,9,39,0,39,0,20,,,
,10,65,1,66,0,20,,,
,11,351,5,356,0,124,,,
,12,15,1,16,0,14,,,
,13,124,2,126,0,43,,,
,14,50,0,50,0,15,,,
,15,157,1,158,0,74,,,
,16,105,1,106,0,65,,,
,17,383,1,384,0,143,,,
,TOTAL,2207,23,2230,0,897,,,
State Treasurer (REP),Precinct,Write-ins,Trnout,Over Votes,Under Votes,,,,
,1,10,10,0,96,,,,
,2,6,6,0,76,,,,
,3,0,0,0,21,,,,
,4,21,21,0,296,,,,
,5,23,23,0,432,,,,
,6,2,2,0,155,,,,
,7,2,2,0,84,,,,
,8,1,1,0,83,,,,
,9,4,4,0,55,,,,
,10,5,5,0,81,,,,
,11,28,28,0,452,,,,
,12,4,4,0,26,,,,
,13,9,9,0,160,,,,
,14,7,7,0,58,,,,
,15,9,9,0,223,,,,
,16,15,15,0,156,,,,
,17,35,35,0,492,,,,
,TOTAL,181,181,0,2946,,,,
Attorney General (REP),Precinct,Write-ins,Trnout,Over Votes,Under Votes,,,,
,1,11,11,0,95,,,,
,2,5,5,0,77,,,,
,3,1,1,0,20,,,,
,4,24,24,0,293,,,,
,5,20,20,0,435,,,,
,6,6,6,0,151,,,,
,7,2,2,0,84,,,,
,8,1,1,0,83,,,,
,9,4,4,0,55,,,,
,10,6,6,0,80,,,,
,11,29,29,0,451,,,,
,12,4,4,0,26,,,,
,13,10,10,0,159,,,,
,14,7,7,0,58,,,,
,15,8,8,0,224,,,,
,16,15,15,0,156,,,,
,17,41,41,0,486,,,,
,TOTAL,194,194,0,2933,,,,
State Senator Dist 28 (REP),Precinct,Karl Scronce,Douglas K Whitest,Write-ins,Trnout,Over Votes,Under Votes,,
,1,17,79,0,96,0,9,,
,2,18,48,0,66,0,13,,
,3,3,16,0,19,0,2,,
,4,47,206,1,254,0,58,,
,5,85,305,1,391,0,60,,
,6,30,112,0,142,0,13,,
,7,13,60,0,73,0,12,,
,8,15,57,0,72,0,9,,
,9,12,40,0,52,0,7,,
,10,17,51,1,69,0,17,,
,11,109,307,0,416,0,58,,
,12,2,22,0,24,0,5,,
,13,26,123,0,149,0,20,,
,14,17,40,0,57,0,6,,
,15,43,150,1,194,1,37,,
,16,34,114,0,148,0,22,,
,17,110,334,0,444,0,76,,
,TOTAL,598,2064,4,2666,1,424,,
State Rep Dist 55 (REP),Precinct,Mike McLane,Write-ins,Trnout,Over Votes,Under Votes,,,
,1,88,0,88,0,17,,,
,2,61,5,66,0,13,,,
,3,17,0,17,0,4,,,
,4,227,0,227,0,85,,,
,5,345,4,349,0,102,,,
,6,125,2,127,0,28,,,
,7,55,0,55,0,30,,,
,8,63,0,63,0,18,,,
,9,44,0,44,0,15,,,
,10,62,1,63,0,23,,,
,11,381,6,387,0,87,,,
,12,16,1,17,0,12,,,
,13,132,0,132,0,37,,,
,14,53,0,53,0,10,,,
,15,165,1,166,0,66,,,
,16,118,0,118,0,52,,,
,17,380,2,382,0,138,,,
,TOTAL,2332,22,2354,0,737,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,