President,Precinct,Harry Browne (LIB),Patrick J. Buchanan (IND),George W. Bush (REP),Ralph Nader (PAC),John Hagelin (REF),Howard Phillips (CON),Al Gore (DEM),Write-ins,Under Votes,Over Votes
,21,6,16,913,37,3,7,361,7,15,5
,25,5,7,539,18,3,4,218,3,21,0
,26,5,12,1347,29,3,3,187,1,14,1
,TOTAL,16,35,2799,84,9,14,766,11,50,6
HOUSE 2ND DISTRICT,Precinct,Greg Walden (REP),Walter Ponsford (DEM),Write-ins,Under Votes,Over Votes,,,,,
,21,1045,259,7,58,1,,,,,
,25,635,127,4,52,0,,,,,
,26,1387,156,1,57,1,,,,,
,TOTAL,3067,542,12,167,2,,,,,
SECRETARY OF STATE,Precinct,Bill Bradbury (DEM),Lloyd Marbet (PAC),Lynn Snodgrass (REP),E J (Ed) Pole II (LIB),Write-ins,Under Votes,Over Votes,,,
,21,478,29,768,31,0,61,3,,,
,25,293,16,457,10,2,38,2,,,
,26,320,25,1161,19,1,74,2,,,
,TOTAL,1091,70,2386,60,3,173,7,,,
STATE TREASURER,Precinct,Leonard Zack (REF),Randall Edwards (DEM),Carlos F Lucero (CON),Jon Kvistad (REP),Mitchell T Shults (LIB),Write-ins,Under Votes,Over Votes,,
,21,29,512,17,636,55,2,119,0,,
,25,15,324,9,374,15,1,80,0,,
,26,21,328,25,1028,40,2,158,0,,
,TOTAL,65,1164,51,2038,110,5,357,0,,
ATTORNEY GENERAL,Precinct,Hardy Myers (DEM),Kevin L Mannix (REP),Thomas B Cox (LIB),Write-ins,Under Votes,Over Votes,,,,
,21,593,640,52,2,83,0,,,,
,25,340,380,31,3,64,0,,,,
,26,392,1038,49,1,122,0,,,,
,TOTAL,1325,2058,132,6,269,0,,,,
STATE SENATOR 30TH DISTRICT,Precinct,Debra M. James (DEM),Steve Harper (REP),Write-ins,Under Votes,Over Votes,,,,,
,21,490,785,0,95,0,,,,,
,25,271,468,4,75,0,,,,,
,26,281,1185,7,129,0,,,,,
,TOTAL,1042,2438,11,299,0,,,,,
STATE HOUSE 57TH DISTRICT,Precinct,R. Thomas (Tom) Butler (REP),Write-ins,Under Votes,Over Votes,,,,,,
,21,1020,19,331,0,,,,,,
,25,615,6,197,0,,,,,,
,26,1306,16,279,1,,,,,,
,TOTAL,2941,41,807,1,,,,,,