President,Precinct,Ralph Nader (PCE),Cynthia McKinney (PGP),John McCain (REP),Bob Barr (LIB),Chuck Baldwin (CON),Barack Obama (DEM),Write-ins,Over Votes,Under Votes
,1,5,1,214,1,2,341,1,1,6
,3,11,0,147,2,2,269,1,0,3
,5,7,6,199,3,3,321,9,0,3
,8,9,0,309,4,5,393,9,1,4
,11,3,2,198,1,1,247,2,0,4
,14,8,0,247,4,4,314,11,0,7
,15,2,0,87,1,2,117,1,0,2
,16,13,1,234,3,0,330,18,1,6
,18,14,2,975,5,7,886,7,1,11
,19,10,3,397,8,5,294,8,0,6
,20,4,0,268,3,7,192,4,0,9
,21,3,3,226,0,3,112,4,0,3
,22,0,0,20,0,0,6,0,0,1
,23,9,2,516,6,4,324,9,1,8
,25,15,7,338,3,3,268,7,1,4
,26,4,0,124,0,0,73,0,0,4
,27,0,0,301,5,1,172,4,0,2
,28,3,1,322,2,0,160,8,0,5
,29,9,1,848,7,8,576,9,4,8
,30,2,0,125,0,2,54,1,1,0
,31,10,0,478,4,3,342,9,0,5
,32,7,3,314,3,1,213,4,0,7
,34,1,3,190,1,0,101,4,0,2
,35,11,3,644,3,19,403,10,1,10
,36,7,0,388,0,4,287,4,1,4
,37,15,1,390,4,3,325,3,3,12
,38,12,1,320,4,5,286,9,4,5
,39,3,2,254,1,3,245,6,2,1
,41,9,0,227,3,2,193,0,1,6
,43,15,1,294,5,8,228,9,1,2
,44,7,3,387,7,11,407,5,0,4
,45,7,2,457,3,5,256,5,0,6
,46,14,5,501,2,6,322,7,0,14
,47,1,0,118,0,0,126,2,0,4
,48,11,3,451,4,7,356,10,0,9
,49,1,0,21,0,5,25,0,0,0
,51,8,0,406,2,4,189,7,1,10
,52,5,1,143,1,2,136,3,0,1
,53,5,2,432,3,5,215,9,0,4
,54,5,1,221,3,2,126,2,0,1
,55,5,4,296,3,3,183,1,0,4
,56,8,1,415,1,3,215,3,2,5
,57,6,1,157,0,0,78,2,0,2
,59,5,0,244,1,5,179,6,0,4
,61,4,1,193,1,2,117,0,1,7
,62,11,2,341,3,1,270,6,2,8
,63,15,1,1010,2,6,643,10,1,20
,65,0,0,19,0,0,17,0,0,0
,66,2,1,145,0,1,84,6,2,1
,70,10,1,659,1,1,398,11,3,9
,73,11,0,444,3,0,327,8,0,6
,75,10,7,528,5,2,240,7,0,8
,77,1,0,200,3,6,160,8,0,2
,78,7,3,343,3,0,243,6,0,2
,79,14,2,492,3,2,407,12,0,6
,80,12,0,444,3,11,310,11,2,11
,82,5,2,159,4,4,151,1,3,6
,84,9,4,285,5,6,390,4,1,6
,86,14,3,647,5,5,358,6,1,10
,88,13,2,390,3,1,322,7,5,6
,89,8,2,340,3,4,270,4,0,4
,91,19,1,360,3,1,415,9,1,6
,92,14,4,675,9,3,665,14,4,13
,93,9,5,646,3,4,540,10,2,2
,94,4,1,285,3,8,265,4,1,5
,95,12,4,467,5,2,383,15,0,5
,96,9,3,365,3,4,374,8,1,5
,97,13,0,734,8,11,515,10,4,7
,99,3,0,239,5,3,129,0,0,1
,100,11,2,551,10,1,477,11,2,11
,101,7,1,247,2,4,170,1,1,7
,102,9,4,498,5,5,481,5,0,5
,103,8,2,562,5,9,330,6,2,14
,104,4,0,308,1,0,220,1,1,3
,105,9,2,234,1,1,253,8,1,2
,106,12,3,285,2,3,263,5,2,6
,107,8,1,446,5,1,500,5,0,11
,108,19,4,687,4,10,591,13,3,10
,TOTAL,625,134,28071,237,287,22163,465,73,443
Senator,Precinct,Gordon H Smith (REP),Jeff Merkley (DEM),Dave Brownlow (CON),WI,OV,UV,,,
,1,227,277,24,3,1,40,,,
,3,186,200,29,3,0,17,,,
,5,192,272,56,3,0,28,,,
,8,315,302,78,3,0,36,,,
,11,210,192,30,0,0,26,,,
,14,245,241,75,7,0,27,,,
,15,77,105,14,0,0,16,,,
,16,248,287,38,7,0,26,,,
,18,1003,691,110,11,0,93,,,
,19,407,233,51,4,0,36,,,
,20,249,148,63,3,0,24,,,
,21,224,93,28,0,0,9,,,
,22,20,5,0,0,0,2,,,
,23,487,270,74,1,0,47,,,
,25,310,237,67,3,0,29,,,
,26,111,64,18,0,0,12,,,
,27,289,151,29,0,0,16,,,
,28,311,131,30,0,0,29,,,
,29,767,547,96,4,2,54,,,
,30,127,41,11,2,0,4,,,
,31,474,257,59,3,0,58,,,
,32,324,166,35,0,0,27,,,
,34,186,89,17,0,0,10,,,
,35,586,335,116,5,0,62,,,
,36,356,253,56,5,0,25,,,
,37,358,279,75,2,0,42,,,
,38,308,239,58,3,1,37,,,
,39,236,224,25,1,1,30,,,
,41,239,157,28,1,0,16,,,
,43,282,185,62,3,0,31,,,
,44,398,352,49,2,0,30,,,
,45,431,219,68,2,1,20,,,
,46,479,275,67,6,0,44,,,
,47,130,93,13,1,0,14,,,
,48,443,307,47,2,0,52,,,
,49,20,23,7,0,0,2,,,
,51,400,154,46,1,0,26,,,
,52,139,113,30,0,0,10,,,
,53,402,188,55,1,0,29,,,
,54,212,100,33,0,0,16,,,
,55,294,140,38,2,0,25,,,
,56,379,190,51,0,0,33,,,
,57,138,67,26,0,0,15,,,
,59,220,159,38,2,0,25,,,
,61,175,97,29,0,0,25,,,
,62,305,228,76,0,0,35,,,
,63,956,543,120,3,0,86,,,
,65,20,11,4,0,0,1,,,
,66,140,72,14,3,0,13,,,
,70,594,347,86,1,0,65,,,
,73,422,288,47,0,0,42,,,
,75,508,204,51,0,0,44,,,
,77,184,136,44,0,0,16,,,
,78,294,223,56,2,1,31,,,
,79,453,362,79,3,0,41,,,
,80,397,276,84,6,0,41,,,
,82,152,130,30,1,0,22,,,
,84,281,317,63,2,0,47,,,
,86,622,280,89,2,0,56,,,
,88,374,262,74,2,0,37,,,
,89,330,232,41,2,0,30,,,
,91,345,350,71,3,0,46,,,
,92,690,528,96,9,0,78,,,
,93,612,435,99,6,0,69,,,
,94,279,209,39,4,0,45,,,
,95,436,332,75,5,0,45,,,
,96,422,274,46,0,0,30,,,
,97,724,401,102,5,0,70,,,
,99,233,91,34,2,0,20,,,
,100,549,395,83,5,0,44,,,
,101,246,132,45,0,0,17,,,
,102,498,394,63,7,0,50,,,
,103,520,264,93,9,0,52,,,
,104,294,188,35,1,0,20,,,
,105,223,212,48,1,1,26,,,
,106,283,226,38,0,0,34,,,
,107,430,420,64,6,0,57,,,
,108,617,493,142,6,1,82,,,
,TOTAL,27047,18403,4180,192,9,2667,,,
Rep in Congress Dist 4,Precinct,Jaynee Germond (CON),Mike Beilstein (PAC),Peter A DeFazio (DEM),WI,OV,UV,,,
,1,57,21,413,3,0,78,,,
,3,27,15,339,4,0,50,,,
,5,62,31,409,5,0,44,,,
,8,103,34,523,5,0,69,,,
,11,41,14,348,1,0,54,,,
,14,72,29,432,5,0,57,,,
,15,23,10,155,2,0,22,,,
,16,57,16,453,3,0,77,,,
,18,217,66,1334,16,0,275,,,
,19,72,24,518,4,0,113,,,
,20,75,22,313,4,0,73,,,
,21,51,19,231,2,0,51,,,
,22,0,0,22,0,0,5,,,
,23,108,24,608,4,0,135,,,
,25,73,19,460,5,0,89,,,
,26,21,6,136,1,0,41,,,
,27,80,13,310,5,0,77,,,
,28,71,18,344,5,0,63,,,
,29,203,41,988,22,0,216,,,
,30,28,7,105,1,0,44,,,
,31,109,17,567,10,0,148,,,
,32,85,17,341,4,0,105,,,
,34,32,12,190,3,0,65,,,
,35,140,31,767,7,0,159,,,
,36,80,30,490,6,0,89,,,
,37,83,28,529,10,0,106,,,
,38,88,26,452,3,0,77,,,
,39,61,21,364,4,0,67,,,
,41,49,19,307,0,0,66,,,
,43,80,25,357,5,0,96,,,
,44,89,40,584,3,0,115,,,
,45,108,21,501,4,0,107,,,
,46,106,15,608,7,0,135,,,
,47,24,10,180,3,0,34,,,
,48,98,30,593,9,0,121,,,
,49,8,2,35,0,0,7,,,
,51,69,16,430,3,0,109,,,
,52,38,11,210,1,0,32,,,
,53,114,31,428,8,0,94,,,
,54,63,15,221,6,0,56,,,
,55,78,20,302,3,0,96,,,
,56,119,19,395,2,0,118,,,
,57,31,10,174,0,0,31,,,
,59,61,14,296,4,0,69,,,
,61,46,15,206,2,0,57,,,
,62,90,32,433,4,0,85,,,
,63,206,54,1164,5,0,279,,,
,65,4,0,28,0,0,4,,,
,66,30,11,158,2,0,41,,,
,70,137,24,736,12,0,184,,,
,73,128,19,565,8,0,79,,,
,75,86,24,500,8,0,189,,,
,77,59,12,268,3,0,38,,,
,78,77,23,436,4,0,67,,,
,79,116,29,670,4,0,119,,,
,80,104,39,554,10,1,96,,,
,82,40,17,235,1,0,42,,,
,84,62,25,527,4,0,92,,,
,86,148,41,688,10,0,162,,,
,88,89,32,539,2,0,87,,,
,89,57,16,453,9,0,100,,,
,91,98,35,579,3,0,100,,,
,92,161,44,989,8,0,199,,,
,93,196,42,790,8,0,185,,,
,94,59,24,407,4,0,82,,,
,95,117,36,619,5,0,116,,,
,96,80,19,546,8,0,119,,,
,97,156,40,897,6,0,203,,,
,99,49,12,256,0,0,63,,,
,100,111,48,758,5,1,153,,,
,101,58,16,297,3,0,66,,,
,102,120,43,712,11,0,126,,,
,103,153,29,563,17,0,176,,,
,104,84,15,363,1,0,75,,,
,105,49,20,377,3,0,62,,,
,106,45,25,417,6,0,88,,,
,107,108,22,722,5,0,120,,,
,108,151,43,961,6,1,179,,,
,TOTAL,6528,1835,36175,389,3,7568,,,
Secretary of State,Precinct,Kate Brown (DEM),Seth Alan Woolley (PGP),Rick Dancer (REP),WI,OV,UV,,,
,1,258,12,261,0,1,40,,,
,3,187,14,211,1,0,22,,,
,5,197,30,283,2,0,39,,,
,8,241,19,435,0,0,39,,,
,11,176,11,256,1,0,14,,,
,14,217,22,332,0,0,24,,,
,15,71,3,126,0,0,12,,,
,16,204,11,361,1,0,29,,,
,18,616,28,1166,0,0,98,,,
,19,194,13,491,0,0,33,,,
,20,145,15,298,0,0,29,,,
,21,91,11,240,0,0,12,,,
,22,7,0,18,0,0,2,,,
,23,259,18,560,1,0,41,,,
,25,211,18,385,3,0,29,,,
,26,67,3,122,0,0,13,,,
,27,87,8,371,0,0,19,,,
,28,81,5,402,1,0,12,,,
,29,313,11,1123,2,0,21,,,
,30,31,3,144,1,1,5,,,
,31,247,16,528,3,0,57,,,
,32,185,21,313,0,0,33,,,
,34,80,6,199,0,0,17,,,
,35,340,29,664,0,0,71,,,
,36,220,13,434,2,0,26,,,
,37,248,18,440,1,0,49,,,
,38,197,21,399,0,0,29,,,
,39,189,13,272,1,0,42,,,
,41,147,9,259,0,0,26,,,
,43,210,31,273,1,0,48,,,
,44,303,18,487,0,0,23,,,
,45,190,23,497,0,0,31,,,
,46,233,17,578,1,0,42,,,
,47,81,2,156,0,0,12,,,
,48,257,12,529,2,0,51,,,
,49,20,2,25,0,0,5,,,
,51,162,14,406,1,0,44,,,
,52,122,6,137,1,0,26,,,
,53,200,25,408,0,0,42,,,
,54,86,4,256,1,0,14,,,
,55,157,15,291,1,0,35,,,
,56,222,16,368,1,0,46,,,
,57,66,9,158,0,0,13,,,
,59,140,11,269,2,0,22,,,
,61,92,4,211,0,0,19,,,
,62,192,16,402,2,0,32,,,
,63,456,17,1138,0,1,96,,,
,65,12,0,23,0,0,1,,,
,66,52,4,173,0,0,13,,,
,70,296,26,689,0,0,82,,,
,73,229,13,525,2,0,30,,,
,75,195,18,553,0,0,41,,,
,77,120,7,225,1,0,27,,,
,78,199,15,370,1,0,22,,,
,79,304,23,568,0,0,43,,,
,80,234,18,517,2,0,33,,,
,82,115,17,180,0,0,23,,,
,84,246,16,404,0,0,44,,,
,86,289,32,653,1,0,74,,,
,88,231,23,448,1,0,46,,,
,89,181,9,414,0,0,31,,,
,91,278,24,461,0,0,52,,,
,92,483,17,813,5,0,83,,,
,93,377,22,731,3,1,87,,,
,94,165,13,361,0,0,37,,,
,95,288,16,543,1,0,45,,,
,96,264,11,462,1,0,34,,,
,97,307,28,885,4,0,78,,,
,99,92,9,262,0,0,17,,,
,100,306,21,699,0,0,50,,,
,101,167,5,243,0,0,25,,,
,102,328,23,610,1,0,50,,,
,103,283,37,539,0,0,79,,,
,104,176,12,310,1,0,39,,,
,105,181,16,290,0,0,24,,,
,106,177,9,356,1,0,38,,,
,107,336,16,573,1,0,51,,,
,108,424,31,795,1,0,90,,,
,TOTAL,16030,1174,32357,60,4,2873,,,
State Treasurer,Precinct,Allen Alley (REP),Michael Marsh (CON),Ben Westlund (DEM),WI,OV,UV,,,
,1,198,19,271,1,1,82,,,
,3,157,13,221,0,0,44,,,
,5,193,30,266,2,1,59,,,
,8,284,41,340,4,0,65,,,
,11,170,16,210,0,0,62,,,
,14,230,24,276,2,0,63,,,
,15,77,7,101,0,0,27,,,
,16,233,28,273,1,0,71,,,
,18,936,43,723,7,1,198,,,
,19,372,23,263,1,0,72,,,
,20,257,12,173,1,0,44,,,
,21,203,14,105,0,0,32,,,
,22,13,0,8,0,0,6,,,
,23,458,40,303,0,0,78,,,
,25,294,33,265,3,0,51,,,
,26,110,8,66,1,0,20,,,
,27,279,10,138,0,0,58,,,
,28,274,14,154,2,0,57,,,
,29,760,43,501,9,1,156,,,
,30,117,5,38,1,0,24,,,
,31,421,32,300,1,0,97,,,
,32,275,20,208,0,0,49,,,
,34,154,5,107,1,0,35,,,
,35,574,61,367,1,0,101,,,
,36,378,28,243,3,0,43,,,
,37,328,29,314,4,0,81,,,
,38,296,36,259,0,1,54,,,
,39,216,23,211,1,0,66,,,
,41,208,13,181,1,0,38,,,
,43,249,30,226,1,0,57,,,
,44,386,24,360,1,0,60,,,
,45,412,28,242,0,0,59,,,
,46,461,23,298,2,0,87,,,
,47,131,6,89,0,0,25,,,
,48,400,21,325,1,0,104,,,
,49,18,6,22,0,0,6,,,
,51,355,29,180,1,0,62,,,
,52,112,14,127,0,0,39,,,
,53,364,37,207,0,1,66,,,
,54,207,13,119,0,0,22,,,
,55,270,17,157,2,0,53,,,
,56,372,18,194,0,0,69,,,
,57,129,11,79,2,0,25,,,
,59,219,20,154,1,0,50,,,
,61,169,11,118,0,0,28,,,
,62,305,38,251,2,0,48,,,
,63,898,54,570,3,0,183,,,
,65,19,2,14,0,0,1,,,
,66,124,15,79,1,0,23,,,
,70,546,54,342,5,0,146,,,
,73,405,33,287,0,0,74,,,
,75,450,21,226,2,0,108,,,
,77,184,19,138,0,0,39,,,
,78,304,20,244,3,0,36,,,
,79,464,31,353,2,0,88,,,
,80,399,35,299,1,0,70,,,
,82,141,23,135,1,0,35,,,
,84,270,26,335,2,0,77,,,
,86,601,46,294,0,0,108,,,
,88,373,30,275,2,0,69,,,
,89,303,13,251,0,0,68,,,
,91,317,33,359,2,0,104,,,
,92,613,46,565,9,0,168,,,
,93,604,38,430,3,0,146,,,
,94,255,25,237,1,0,58,,,
,95,423,32,357,2,1,78,,,
,96,400,22,286,1,0,63,,,
,97,655,49,445,3,0,150,,,
,99,190,23,125,0,0,42,,,
,100,508,35,440,2,0,91,,,
,101,227,11,164,0,0,38,,,
,102,459,34,402,3,0,114,,,
,103,515,39,278,0,0,106,,,
,104,268,22,196,0,0,52,,,
,105,184,20,247,1,0,59,,,
,106,264,22,230,0,0,65,,,
,107,432,17,420,2,0,106,,,
,108,597,56,542,3,0,143,,,
,TOTAL,25416,1962,19598,114,7,5401,,,
Attorney General,Precinct,John R Kroger (DEM),J Ashlee Albies (WRK),Walter F (Walt) Brown (PGP),James E Leuenberger (CON),WI,OV,UV,,
,1,344,49,21,37,2,0,119,,
,3,282,30,20,30,4,0,69,,
,5,297,88,33,50,5,0,78,,
,8,396,97,33,92,3,0,113,,
,11,254,37,27,39,2,2,97,,
,14,346,71,20,60,2,0,96,,
,15,112,21,14,28,1,0,36,,
,16,368,58,19,58,2,0,101,,
,18,1066,175,77,196,4,0,390,,
,19,401,70,29,68,3,0,160,,
,20,228,67,33,67,0,0,92,,
,21,160,41,21,46,3,0,83,,
,22,11,1,2,1,0,0,12,,
,23,470,102,26,110,0,1,170,,
,25,338,91,29,71,2,0,115,,
,26,112,12,1,36,1,0,43,,
,27,210,41,16,78,3,0,137,,
,28,243,47,19,73,2,0,117,,
,29,742,160,39,203,9,0,317,,
,30,74,23,7,24,1,0,56,,
,31,425,79,36,100,3,0,208,,
,32,266,44,20,92,0,0,130,,
,34,159,30,8,26,1,0,78,,
,35,558,114,46,154,3,0,229,,
,36,376,76,26,81,4,0,132,,
,37,415,83,31,77,9,0,141,,
,38,348,77,25,78,1,0,117,,
,39,282,52,22,57,2,1,101,,
,41,244,36,24,39,0,0,98,,
,43,293,66,23,65,1,0,115,,
,44,505,61,41,86,0,0,138,,
,45,371,91,29,96,1,0,153,,
,46,473,73,28,105,4,0,188,,
,47,134,23,5,29,5,0,55,,
,48,501,62,34,83,5,0,166,,
,49,30,2,3,8,0,0,9,,
,51,296,67,24,78,1,0,161,,
,52,160,25,12,41,0,0,54,,
,53,340,61,26,120,1,0,127,,
,54,171,26,18,59,3,0,84,,
,55,233,45,20,79,3,0,119,,
,56,333,56,14,96,1,0,153,,
,57,128,25,13,26,0,0,54,,
,59,220,59,16,50,1,0,98,,
,61,160,28,13,45,0,0,80,,
,62,349,96,33,61,2,0,103,,
,63,900,154,59,161,9,0,425,,
,65,24,5,0,2,0,0,5,,
,66,115,37,10,33,1,0,46,,
,70,530,114,38,130,5,0,276,,
,73,391,100,46,118,2,0,142,,
,75,369,60,23,78,6,0,271,,
,77,202,43,22,50,2,0,61,,
,78,350,69,20,66,6,0,96,,
,79,548,84,29,97,4,0,176,,
,80,441,109,32,84,3,0,135,,
,82,177,38,19,40,2,0,59,,
,84,389,110,15,67,2,0,127,,
,86,509,131,47,119,4,0,239,,
,88,423,90,30,77,1,0,128,,
,89,369,48,13,53,2,0,150,,
,91,423,101,37,87,3,0,164,,
,92,766,147,44,159,10,0,275,,
,93,627,125,35,188,6,0,240,,
,94,301,68,22,60,1,0,124,,
,95,476,119,39,93,6,0,160,,
,96,474,36,21,75,2,0,164,,
,97,669,107,54,156,8,0,308,,
,99,178,32,11,69,1,0,89,,
,100,630,105,41,93,2,0,205,,
,101,253,39,17,41,4,0,86,,
,102,592,94,31,105,1,1,188,,
,103,457,104,36,109,1,0,231,,
,104,287,55,19,68,3,0,106,,
,105,297,59,22,43,1,0,89,,
,106,339,68,19,31,2,0,122,,
,107,606,83,35,84,2,0,167,,
,108,770,147,43,129,5,0,247,,
,TOTAL,28106,5419,2005,5963,207,5,10793,,
"State Senator, 9th Dist",Precinct,Fred Girod (REP),Bob McDonald (DEM),WI,OV,UV,,,,
,20,286,151,2,0,48,,,,
,25,345,234,2,0,65,,,,
,32,325,174,2,0,51,,,,
,35,644,318,0,0,142,,,,
,36,333,201,1,0,52,,,,
,37,396,276,4,0,80,,,,
,38,346,229,2,1,68,,,,
,39,241,204,2,0,70,,,,
,41,252,138,0,0,51,,,,
,43,339,175,0,0,49,,,,
,45,456,216,0,0,69,,,,
,46,502,265,1,0,103,,,,
,49,28,20,0,0,4,,,,
,52,151,107,2,0,32,,,,
,53,427,180,2,0,66,,,,
,55,306,148,0,0,45,,,,
,56,398,196,1,0,58,,,,
,59,230,157,2,0,55,,,,
,61,179,96,0,0,51,,,,
,62,334,241,2,0,67,,,,
,66,141,71,0,0,30,,,,
,78,330,221,3,0,53,,,,
,79,531,312,1,0,94,,,,
,80,445,274,4,0,81,,,,
,82,157,139,2,1,36,,,,
,86,641,286,2,0,120,,,,
,88,386,276,2,0,84,,,,
,101,265,147,0,0,28,,,,
,103,616,229,0,0,93,,,,
,104,297,176,0,0,65,,,,
,108,669,485,3,0,150,,,,
,TOTAL,,,,,,,,,
,,10996,6342,42,2,2060,,,,
"State Senator, 12th Dist",Precinct,Kevin C Nortness (DEM),Brian J Boquist (REP),WI,OV,UV,,,,
,28,116,321,3,0,61,,,,
,29,450,806,4,0,210,,,,
,30,33,127,2,0,23,,,,
,47,87,120,0,0,40,,,,
,54,84,245,0,0,32,,,,
,65,13,21,0,0,2,,,,
,TOTAL,783,1640,9,0,368,,,,
"State Rep, 11th Dist",Precinct,Phil Barnhart (DEM),WI,OV,UV,,,,,
,21,168,12,0,174,,,,,
,22,11,0,0,16,,,,,
,23,459,18,0,402,,,,,
,27,212,11,0,262,,,,,
,31,431,15,0,405,,,,,
,36,63,4,0,41,,,,,
,37,0,0,0,0,,,,,
,57,139,6,0,101,,,,,
,70,500,22,0,571,,,,,
,73,480,10,1,308,,,,,
,75,373,21,0,413,,,,,
,77,208,3,0,169,,,,,
,88,1,0,0,0,,,,,
,99,172,6,0,202,,,,,
,108,22,0,0,12,,,,,
,TOTAL,3239,128,1,3076,,,,,
"State Rep, 15th Dist",Precinct,Dick Olsen (DEM),Andy Olson (REP),WI,OV,UV,,,,
,1,258,255,0,0,59,,,,
,3,200,206,1,0,28,,,,
,5,259,237,3,0,52,,,,
,8,322,350,1,0,61,,,,
,11,197,222,0,0,39,,,,
,14,249,299,1,0,46,,,,
,15,87,102,0,0,23,,,,
,16,234,325,0,0,47,,,,
,18,577,1167,5,0,159,,,,
,19,197,471,2,0,61,,,,
,26,61,131,0,0,13,,,,
,34,83,198,0,0,21,,,,
,38,0,0,0,0,0,,,,
,44,316,443,1,0,71,,,,
,48,255,522,1,0,73,,,,
,51,140,429,0,0,58,,,,
,63,428,1148,2,0,130,,,,
,84,294,340,3,0,73,,,,
,89,164,423,2,0,46,,,,
,91,306,422,2,0,85,,,,
,92,445,821,4,0,131,,,,
,93,368,732,2,0,119,,,,
,94,197,330,0,0,49,,,,
,95,319,508,0,0,66,,,,
,96,217,497,3,0,55,,,,
,97,335,846,2,1,118,,,,
,100,336,658,3,0,79,,,,
,102,340,596,3,0,73,,,,
,105,203,257,0,0,51,,,,
,106,193,328,1,0,59,,,,
,107,328,584,1,0,64,,,,
,TOTAL,7908,13847,43,1,2009,,,,
"State Rep, 16th Dist",Precinct,Sara A Gelser (DEM),WI,OV,UV,,,,,
,47,2,0,0,2,,,,,
,TOTAL,2,0,0,2,,,,,
"State Rep, 17th Dist",Precinct,Sherrie Sprenger (REP),Dan Thackaberry (DEM),WI,OV,UV,,,,
,20,284,166,4,0,33,,,,
,25,322,273,3,0,48,,,,
,32,317,191,2,0,42,,,,
,35,679,351,2,1,71,,,,
,36,338,219,1,0,29,,,,
,37,369,323,6,0,58,,,,
,38,305,293,3,1,44,,,,
,39,252,218,3,0,44,,,,
,41,253,157,1,0,30,,,,
,43,257,243,1,0,62,,,,
,45,422,274,1,0,44,,,,
,46,482,300,0,1,88,,,,
,49,20,26,0,0,6,,,,
,52,153,117,0,0,22,,,,
,53,412,198,6,0,59,,,,
,55,305,159,2,0,33,,,,
,56,379,217,0,0,57,,,,
,59,222,182,2,0,38,,,,
,61,180,122,0,0,24,,,,
,62,322,264,2,1,55,,,,
,66,140,81,0,0,21,,,,
,78,321,245,4,0,37,,,,
,79,506,372,0,0,60,,,,
,80,419,327,1,0,57,,,,
,82,164,139,2,0,30,,,,
,86,617,355,1,0,76,,,,
,88,372,314,2,0,60,,,,
,101,243,168,0,0,29,,,,
,103,539,301,0,0,98,,,,
,104,284,218,0,0,36,,,,
,108,657,545,2,0,103,,,,
,TOTAL,10535,7358,51,4,1494,,,,
"State Rep, 23rd Dist",Precinct,Jason Brown (DEM),Jim Thompson (REP),WI,OV,UV,,,,
,28,129,304,2,0,66,,,,
,29,486,788,5,0,191,,,,
,30,41,119,2,0,23,,,,
,47,101,110,0,0,36,,,,
,54,94,232,0,0,35,,,,
,65,14,17,0,0,5,,,,
,TOTAL,865,1570,9,0,356,,,,