President,Precinct,Ralph Nader (PCE),Cynthia McKinney (PGP),John McCain (REP),Bob Barr (LIB),Chuck Baldwin (CON),Barack Obama (DEM),Write-ins,Over Votes,Under Votes,
,1,9,3,771,4,3,422,6,3,17,
,2,7,1,385,7,4,288,4,2,5,
,3,9,4,357,3,5,281,4,3,17,
,4,12,3,510,4,11,329,7,3,10,
,5,6,0,299,1,4,76,3,0,3,
,6,5,1,592,7,5,193,3,1,8,
,7,4,1,456,3,6,190,4,3,12,
,8,7,2,454,3,2,307,4,6,4,
,9,7,3,596,3,8,128,4,0,7,
,10,0,2,55,0,0,24,6,1,3,
,11,2,0,407,3,16,90,2,0,5,
,12,2,3,451,1,4,205,10,0,7,
,13,4,1,391,5,5,108,8,0,5,
,14,5,2,548,6,3,135,4,0,7,
,15,4,0,197,1,0,42,0,0,3,
,16,0,1,38,1,1,20,0,0,1,
,17,0,0,32,0,0,0,0,0,0,
,18,0,1,132,0,2,30,2,0,1,
,19,0,0,58,1,0,3,0,0,0,
,20,1,0,79,1,0,16,1,1,3,
,21,0,0,125,0,0,7,0,0,1,
,22,0,0,78,1,0,2,0,0,0,
,23,0,0,26,0,0,2,0,1,0,
,24,1,0,120,2,2,51,4,0,0,
,TOTAL,85,28,7157,57,81,2949,76,24,119,
Senator,Precinct,Gordon H Smith (REP),Jeff Merkley (DEM),Dave Brownlow (CON),WI,OV,UV,,,,
,1,845,290,46,0,0,57,,,,
,2,415,208,36,0,0,44,,,,
,3,362,246,37,0,0,38,,,,
,4,583,226,47,1,0,32,,,,
,5,284,61,15,0,0,32,,,,
,6,576,170,34,0,0,35,,,,
,7,500,122,18,0,1,38,,,,
,8,467,247,30,0,0,45,,,,
,9,598,91,36,1,0,30,,,,
,10,46,24,6,0,0,15,,,,
,11,389,71,40,1,0,24,,,,
,12,462,159,26,1,0,35,,,,
,13,393,78,31,0,0,25,,,,
,14,541,111,28,1,0,29,,,,
,15,199,30,7,0,1,10,,,,
,16,35,17,7,0,0,3,,,,
,17,30,0,1,0,0,1,,,,
,18,140,16,4,0,0,8,,,,
,19,54,2,4,0,0,2,,,,
,20,80,14,0,0,0,8,,,,
,21,123,2,1,0,0,7,,,,
,22,71,2,6,0,0,2,,,,
,23,27,2,0,0,0,0,,,,
,24,135,29,9,0,0,7,,,,
,TOTAL,7355,2218,469,5,2,527,,,,
Rep in Congress Dist 2,Precinct,Richard D Hake (CON),Tristin Mock (PAC),Greg Walden (REP),Noah Lemas (DEM),WI,OV,UV,,,
,1,15,16,876,256,1,0,74,,,
,2,14,14,441,186,2,1,45,,,
,3,9,25,374,230,1,0,44,,,
,4,26,19,594,216,0,0,34,,,
,5,3,13,296,55,0,0,25,,,
,6,17,17,606,141,1,0,33,,,
,7,14,5,524,91,0,1,44,,,
,8,15,13,476,228,1,2,54,,,
,9,22,7,610,95,2,0,20,,,
,10,1,5,49,21,0,0,15,,,
,11,21,7,399,72,2,0,24,,,
,12,13,15,478,136,2,1,38,,,
,13,11,10,415,63,0,0,28,,,
,14,13,15,568,86,0,0,28,,,
,15,4,1,197,32,0,0,13,,,
,16,1,1,39,18,0,0,3,,,
,17,0,0,31,0,0,0,1,,,
,18,2,2,137,16,0,0,11,,,
,19,2,0,56,2,0,0,2,,,
,20,0,1,82,11,0,0,8,,,
,21,1,0,122,4,0,0,6,,,
,22,5,0,70,4,0,0,2,,,
,23,0,0,24,5,0,0,0,,,
,24,6,3,127,30,0,0,14,,,
,TOTAL,215,189,7591,1998,12,5,566,,,
Secretary of State,Precinct,Kate Brown (DEM),Seth Alan Woolley (PGP),Rick Dancer (REP),WI,OV,UV,,,,
,1,377,15,744,1,0,101,,,,
,2,261,29,357,0,0,56,,,,
,3,290,23,327,0,0,43,,,,
,4,313,19,506,1,0,50,,,,
,5,81,7,267,0,0,37,,,,
,6,219,30,510,0,0,56,,,,
,7,159,7,456,0,1,56,,,,
,8,299,18,406,1,0,65,,,,
,9,129,15,574,1,0,37,,,,
,10,30,7,38,0,0,16,,,,
,11,91,8,389,2,0,35,,,,
,12,203,12,415,0,0,53,,,,
,13,107,10,365,0,0,45,,,,
,14,141,15,507,0,0,47,,,,
,15,32,5,179,0,0,31,,,,
,16,20,1,35,0,0,6,,,,
,17,3,0,29,0,0,0,,,,
,18,37,1,112,1,0,17,,,,
,19,6,0,45,0,0,11,,,,
,20,17,0,83,0,0,2,,,,
,21,7,0,116,0,0,10,,,,
,22,3,0,76,0,0,2,,,,
,23,2,0,26,0,0,1,,,,
,24,36,3,126,0,0,15,,,,
,TOTAL,2863,225,6688,7,1,792,,,,
State Treasurer,Precinct,Allen Alley (REP),Michael Marsh (CON),Ben Westlund (DEM),WI,OV,UV,,,,
,1,707,28,378,1,0,124,,,,
,2,346,35,259,0,0,63,,,,
,3,308,31,297,0,0,47,,,,
,4,494,38,304,2,0,51,,,,
,5,247,21,82,0,0,42,,,,
,6,510,34,210,0,0,61,,,,
,7,446,18,159,0,1,55,,,,
,8,406,32,272,0,0,79,,,,
,9,553,32,124,1,0,46,,,,
,10,32,11,31,0,0,17,,,,
,11,357,30,97,2,0,39,,,,
,12,386,24,207,0,0,66,,,,
,13,352,22,101,0,0,52,,,,
,14,493,21,138,0,0,58,,,,
,15,171,7,32,0,0,37,,,,
,16,33,0,20,0,0,9,,,,
,17,27,0,4,0,0,1,,,,
,18,123,2,27,0,0,16,,,,
,19,43,2,4,0,0,13,,,,
,20,81,1,15,0,0,5,,,,
,21,110,0,7,0,0,16,,,,
,22,68,4,5,0,0,4,,,,
,23,24,0,4,0,0,1,,,,
,24,114,8,41,0,0,17,,,,
,TOTAL,6431,401,2818,6,1,919,,,,
Attorney General,Precinct,John R Kroger (DEM),J Ashlee Albies (WRK),Walter F (Walt) Brown (PGP),James E Leuenberger (CON),WI,OV,UV,,,
,1,672,140,25,132,9,0,260,,,
,2,379,99,17,84,1,0,123,,,
,3,364,139,30,52,0,0,98,,,
,4,475,121,38,84,2,0,169,,,
,5,177,45,16,71,0,0,83,,,
,6,390,127,33,103,7,0,155,,,
,7,336,79,20,85,0,2,157,,,
,8,425,116,19,78,2,0,149,,,
,9,348,123,12,109,4,0,160,,,
,10,37,14,9,9,0,0,22,,,
,11,237,66,15,98,0,0,109,,,
,12,345,96,24,77,1,1,139,,,
,13,232,73,14,83,4,0,121,,,
,14,311,107,19,110,0,0,163,,,
,15,97,28,5,27,0,0,90,,,
,16,28,5,1,7,0,0,21,,,
,17,6,10,0,8,0,0,8,,,
,18,70,23,4,23,0,0,48,,,
,19,16,3,2,15,0,0,26,,,
,20,46,21,3,10,0,0,22,,,
,21,56,6,0,23,0,0,48,,,
,22,29,6,0,19,0,0,27,,,
,23,6,5,1,6,0,0,11,,,
,24,81,25,6,31,1,0,36,,,
,TOTAL,5163,1477,313,1344,31,3,2245,,,
"State Senator, 30th Dist",Precinct,Ted Ferrioli (REP),WI,OV,UV,,,,,,
,1,915,11,0,312,,,,,,
,2,494,9,0,200,,,,,,
,3,461,11,0,211,,,,,,
,4,673,5,0,211,,,,,,
,5,273,3,0,116,,,,,,
,6,601,5,0,209,,,,,,
,7,534,3,0,142,,,,,,
,8,537,7,0,245,,,,,,
,9,588,12,0,156,,,,,,
,10,51,0,0,40,,,,,,
,11,402,3,0,120,,,,,,
,12,518,7,0,158,,,,,,
,13,382,3,0,142,,,,,,
,14,545,1,0,164,,,,,,
,15,180,0,0,67,,,,,,
,16,34,0,0,28,,,,,,
,17,30,0,0,2,,,,,,
,18,130,1,0,37,,,,,,
,19,49,0,0,13,,,,,,
,20,79,1,0,22,,,,,,
,21,118,0,0,15,,,,,,
,22,64,0,0,17,,,,,,
,23,26,0,0,3,,,,,,
,24,131,0,0,49,,,,,,
,TOTAL,7815,82,0,2679,,,,,,
"State Rep, 60th Dist",Precinct,Cliff Bentz (REP),WI,OV,UV,,,,,,
,1,1028,6,0,204,,,,,,
,2,549,11,0,143,,,,,,
,3,520,11,0,152,,,,,,
,4,713,13,0,163,,,,,,
,5,293,4,0,95,,,,,,
,6,633,10,0,172,,,,,,
,7,561,7,0,111,,,,,,
,8,570,6,0,213,,,,,,
,9,607,13,0,136,,,,,,
,10,57,0,0,34,,,,,,
,11,414,3,0,108,,,,,,
,12,527,15,0,141,,,,,,
,13,403,7,0,117,,,,,,
,14,572,6,0,132,,,,,,
,15,179,4,0,64,,,,,,
,16,39,0,0,23,,,,,,
,17,27,0,0,5,,,,,,
,18,135,2,0,31,,,,,,
,19,35,6,0,21,,,,,,
,20,76,1,0,25,,,,,,
,21,121,1,0,11,,,,,,
,22,68,0,0,13,,,,,,
,23,23,1,0,5,,,,,,
,24,137,1,0,42,,,,,,
,TOTAL,8287,128,0,2161,,,,,,