SENATOR (DEM),Precinct,Voters,Trnout,Pct,BILL BRADBURY,CRAIG HANSON,GREG HAVEN,Under Votes,Over Votes,Write-ins
,0156,27,13,48.15%,13,0,0,0,0,0
,0158,21,13,61.90%,13,0,0,0,0,0
,0543,17,5,29.41%,4,0,0,1,0,0
,0547,15,6,40.00%,3,0,0,3,0,0
,0548,15,5,33.33%,5,0,0,0,0,0
,0601,0,0,0.00%,0,0,0,0,0,0
,1002,365,204,55.89%,171,9,4,20,0,0
,1013,2315,1544,66.70%,1387,26,12,115,1,3
,1025,1660,794,47.83%,643,27,31,84,2,7
,1045,113,84,74.34%,75,1,0,6,0,2
,1053,1028,414,40.27%,356,16,5,37,0,0
,1103,1480,740,50.00%,619,40,17,57,1,6
,1156,1436,977,68.04%,886,16,4,70,1,0
,1170,1782,1216,68.24%,1101,12,10,86,1,6
,1183,1012,612,60.47%,544,12,5,48,0,3
,1205,1860,1094,58.82%,936,39,14,98,1,6
,1211,1071,720,67.23%,622,19,12,62,0,5
,1213,1377,901,65.43%,759,26,11,102,0,3
,1222,1920,1250,65.10%,1053,40,12,138,4,3
,1224,1662,1144,68.83%,1012,24,8,91,3,6
,1226,1110,750,67.57%,654,12,4,77,1,2
,1230,2036,1250,61.39%,1057,30,13,139,0,11
,1238,1039,591,56.88%,490,24,16,55,1,5
,1240,734,486,66.21%,428,9,4,42,0,3
,1245,2137,1338,62.61%,1137,31,25,136,0,9
,1315,1510,813,53.84%,699,31,14,63,1,5
,1321,771,459,59.53%,404,7,3,43,0,2
,1400,613,341,55.63%,299,6,4,29,1,2
,1500,251,143,56.97%,122,1,5,14,1,0
,1504,696,436,62.64%,362,32,9,30,1,2
,1505,238,153,64.29%,116,10,8,15,1,3
,1507,131,88,67.18%,82,0,0,6,0,0
,1515,424,291,68.63%,252,10,5,22,1,1
,1546,366,257,70.22%,216,4,5,26,2,4
,2002,1877,785,41.82%,528,77,55,108,7,10
,2026,1926,812,42.16%,578,87,35,96,4,12
,2029,2048,944,46.09%,703,80,48,101,2,10
,2077,2331,1250,53.63%,925,122,59,132,3,9
,2086,2117,971,45.87%,738,73,25,123,2,10
,2099,1946,764,39.26%,572,53,27,101,3,8
,2100,2122,1180,55.61%,868,112,35,154,3,8
,2114,1914,1057,55.22%,842,79,26,96,3,11
,2143,1076,529,49.16%,405,35,16,63,0,10
,3000,1674,837,50.00%,630,61,26,111,2,7
,3002,2027,1029,50.76%,801,51,39,120,2,16
,3004,1766,679,38.45%,467,62,35,104,2,9
,3008,2250,1169,51.96%,903,71,31,152,1,11
,3058,2209,1028,46.54%,820,46,32,117,1,12
,3097,2250,1066,47.38%,892,45,23,97,1,8
,3113,2092,1386,66.25%,1234,27,7,103,3,12
,3128,2143,1477,68.92%,1283,34,19,129,4,8
,3144,1777,1305,73.44%,1146,17,16,120,1,5
,3151,2521,1176,46.65%,949,54,38,118,6,11
,3177,2109,1267,60.08%,1068,49,18,120,0,12
,3185,1053,515,48.91%,363,44,16,84,2,6
,3193,2171,1300,59.88%,1088,54,21,119,7,11
,3240,1948,1064,54.62%,866,43,33,111,3,8
,3248,1338,782,58.45%,669,35,17,56,2,3
,3253,1487,874,58.78%,732,32,19,83,0,8
,3259,2171,1439,66.28%,1276,34,15,106,2,6
,3274,1481,753,50.84%,636,27,18,66,2,4
,3290,1958,1364,69.66%,1192,32,13,119,1,7
,3297,1188,543,45.71%,398,43,28,66,1,7
,3307,1116,565,50.63%,441,27,24,62,0,11
,3311,1368,666,48.68%,483,70,24,78,1,10
,3315,984,427,43.39%,301,41,23,57,3,2
,3322,952,491,51.58%,371,38,16,61,0,5
,3327,920,490,53.26%,375,32,17,61,2,3
,3329,1520,842,55.39%,618,58,41,115,2,8
,3330,1471,838,56.97%,625,60,32,106,5,10
,4022,1524,779,51.12%,660,24,16,68,3,8
,4027,1556,912,58.61%,783,24,16,82,0,7
,4041,2072,1306,63.03%,1125,34,17,108,4,18
,4049,2048,1135,55.42%,951,34,25,116,3,6
,4065,2205,1251,56.73%,1057,40,23,122,1,8
,4106,1411,844,59.82%,721,23,15,77,2,6
,4111,1750,1126,64.34%,959,36,26,99,3,3
,4125,1316,601,45.67%,451,47,30,64,1,8
,4131,1395,810,58.06%,652,49,27,73,1,8
,4155,1871,1076,57.51%,857,48,32,120,2,17
,4167,2026,1158,57.16%,955,47,40,104,2,10
,4178,1308,608,46.48%,458,51,28,60,4,7
,4185,1212,529,43.65%,392,36,35,58,0,8
,4202,1453,662,45.56%,502,52,31,66,4,7
,4216,482,179,37.14%,126,20,13,17,0,3
,4242,1705,990,58.06%,827,50,19,88,1,5
,4250,1370,799,58.32%,628,52,26,88,2,3
,4254,918,525,57.19%,422,30,10,54,1,8
,4282,1669,1094,65.55%,961,16,22,90,0,5
,4295,1847,1139,61.67%,978,35,15,102,2,7
,4299,1893,787,41.57%,563,81,43,89,1,10
,4309,929,427,45.96%,337,27,10,50,0,3
,4320,884,473,53.51%,356,28,20,61,1,7
,4333,1363,675,49.52%,512,54,26,75,1,7
,4338,1520,756,49.74%,509,91,37,106,2,11
,4339,1542,650,42.15%,458,59,39,84,1,9
,4340,957,407,42.53%,301,31,31,41,0,3
,4344,1083,539,49.77%,377,41,28,78,2,13
,4345,1646,777,47.21%,568,60,46,84,4,15
,4350,1741,796,45.72%,594,62,40,91,1,8
,4352,998,405,40.58%,274,41,23,61,2,4
,4359,698,344,49.28%,248,28,11,50,1,6
,4360,1074,453,42.18%,323,49,32,46,0,3
,4361,1424,617,43.33%,434,67,22,80,3,11
,4362,1154,526,45.58%,373,39,26,75,1,12
,4363,1885,1015,53.85%,800,59,32,110,3,11
,5029,240,142,59.17%,108,4,7,23,0,0
,5100,1338,575,42.97%,419,49,29,70,1,7
,5200,1304,568,43.56%,418,52,22,68,3,5
,5201,1205,537,44.56%,393,32,24,80,1,7
,5301,552,209,37.86%,159,22,10,16,0,2
,5401,172,90,52.33%,76,2,1,10,0,1
,5425,903,465,51.50%,350,34,22,52,1,6
,5602,107,55,51.40%,43,0,3,8,1,0
,5604,765,384,50.20%,271,32,27,50,1,3
,5605,68,27,39.71%,19,2,2,4,0,0
,5819,1430,636,44.48%,456,53,32,80,3,12
,5820,1681,759,45.15%,551,68,38,94,0,8
,5828,1301,569,43.74%,403,58,27,74,1,6
,5842,1581,858,54.27%,656,50,29,112,4,7
,5846,1436,663,46.17%,485,47,31,91,1,8
,5850,866,363,41.92%,260,29,16,52,1,5
,5851,1554,699,44.98%,521,55,29,81,1,12
,5853,1430,691,48.32%,514,55,21,84,0,17
,5855,1423,678,47.65%,520,42,27,81,1,7
,5861,976,424,43.44%,308,45,12,54,0,5
,5868,1032,444,43.02%,357,14,13,51,0,9
,5870,1400,622,44.43%,455,51,39,68,4,5
,5871,893,346,38.75%,236,28,22,50,3,7
,TOTAL,170119,90770,53.36%,72776,4808,2642,9520,193,831
HOUSE DIST. 1 (DEM),Precinct,Voters,Trnout,Pct,DAVID WU,Under Votes,Over Votes,Write-ins
,0158,21,13,61.90%,10,3,0,0
,1013,2315,1544,66.70%,1297,239,1,7
,1025,1660,794,47.83%,689,97,0,8
,1045,113,84,74.34%,72,12,0,0
,1053,1028,414,40.27%,358,50,0,6
,1103,1480,740,50.00%,647,88,0,5
,1156,1436,977,68.04%,829,137,1,10
,1170,1782,1216,68.24%,1038,165,1,12
,1205,1860,1094,58.82%,941,149,0,4
,1224,1662,1144,68.83%,975,162,0,7
,1226,1110,750,67.57%,634,112,0,4
,1230,2036,1250,61.39%,1058,186,1,5
,1240,734,486,66.21%,423,58,0,5
,1245,2137,1338,62.61%,1171,161,0,6
,1315,1510,813,53.84%,725,81,0,7
,1507,131,88,67.18%,80,8,0,0
,1515,424,291,68.63%,242,46,0,3
,TOTAL,21439,13036,60.81%,11189,1754,4,89
HOUSE DIST. 3 (DEM),Precinct,Voters,Trnout,Pct,EARL BLUMENAUER,JOHN SWEENEY,Under Votes,Over Votes,Write-ins
,0543,17,5,29.41%,5,0,0,0,0
,0547,15,6,40.00%,3,1,2,0,0
,0548,15,5,33.33%,4,0,1,0,0
,0601,0,0,0.00%,0,0,0,0,0
,1002,365,204,55.89%,173,23,8,0,0
,1321,771,459,59.53%,405,17,37,0,0
,1500,251,143,56.97%,120,10,12,1,0
,1504,696,436,62.64%,361,50,23,0,2
,1505,238,153,64.29%,124,17,11,0,1
,2002,1877,785,41.82%,594,144,46,1,0
,2026,1926,812,42.16%,627,132,46,2,5
,2029,2048,944,46.09%,738,136,64,2,4
,2077,2331,1250,53.63%,1005,177,66,0,2
,2086,2117,971,45.87%,794,93,78,1,5
,2099,1946,764,39.26%,639,60,61,1,3
,2100,2122,1180,55.61%,950,146,77,4,3
,2114,1914,1057,55.22%,862,121,70,2,2
,2143,1076,529,49.16%,404,84,35,1,5
,3000,1674,837,50.00%,681,102,48,2,4
,3002,2027,1029,50.76%,840,119,66,0,4
,3004,1766,679,38.45%,541,75,60,1,2
,3008,2250,1169,51.96%,992,90,78,1,8
,3058,2209,1028,46.54%,867,96,59,2,4
,3097,2250,1066,47.38%,901,86,77,0,2
,3113,2092,1386,66.25%,1261,61,60,1,3
,3128,2143,1477,68.92%,1342,71,58,3,3
,3144,1777,1305,73.44%,1177,65,58,2,3
,3151,2521,1176,46.65%,1023,86,61,3,3
,3177,2109,1267,60.08%,1087,105,72,2,1
,3185,1053,515,48.91%,404,57,46,3,5
,3193,2171,1300,59.88%,1115,104,76,3,2
,3240,1948,1064,54.62%,904,98,57,1,4
,3248,1338,782,58.45%,686,57,36,3,0
,3253,1487,874,58.78%,774,59,39,0,2
,3259,2171,1439,66.28%,1314,71,47,2,5
,3274,1481,753,50.84%,662,54,36,0,1
,3290,1958,1364,69.66%,1220,75,69,0,0
,3297,1188,543,45.71%,421,82,37,0,3
,3307,1116,565,50.63%,452,79,31,0,3
,3311,1368,666,48.68%,521,109,33,0,3
,3315,984,427,43.39%,325,67,28,1,6
,3322,952,491,51.58%,406,60,21,3,1
,3327,920,490,53.26%,384,76,26,1,3
,3329,1520,842,55.39%,671,114,53,2,2
,3330,1471,838,56.97%,678,128,31,0,1
,4022,1524,779,51.12%,663,57,53,1,5
,4027,1556,912,58.61%,789,52,69,1,1
,4041,2072,1306,63.03%,1127,102,71,2,4
,4049,2048,1135,55.42%,960,81,92,0,2
,4065,2205,1251,56.73%,1056,121,67,4,3
,4106,1411,844,59.82%,735,47,59,0,3
,4111,1750,1126,64.34%,988,80,54,1,3
,4125,1316,601,45.67%,473,85,38,2,3
,4131,1395,810,58.06%,700,65,40,2,3
,4155,1871,1076,57.51%,900,111,61,1,3
,4167,2026,1158,57.16%,953,118,79,5,3
,4178,1308,608,46.48%,503,69,33,0,3
,4185,1212,529,43.65%,423,70,30,2,4
,4202,1453,662,45.56%,537,85,34,3,3
,4216,482,179,37.14%,132,37,9,0,1
,4242,1705,990,58.06%,861,78,49,1,1
,4250,1370,799,58.32%,670,82,47,0,0
,4254,918,525,57.19%,428,57,37,1,2
,4282,1669,1094,65.55%,980,60,51,1,2
,4295,1847,1139,61.67%,994,82,59,0,4
,4299,1893,787,41.57%,569,158,53,2,5
,4309,929,427,45.96%,362,40,25,0,0
,4320,884,473,53.51%,383,53,35,0,2
,4333,1363,675,49.52%,544,88,35,1,7
,4338,1520,756,49.74%,561,142,50,1,2
,4339,1542,650,42.15%,478,121,49,0,2
,4340,957,407,42.53%,306,68,30,0,3
,4344,1083,539,49.77%,402,94,38,1,4
,4345,1646,777,47.21%,585,152,37,2,1
,4350,1741,796,45.72%,589,159,44,1,3
,4352,998,405,40.58%,285,83,34,2,1
,4359,698,344,49.28%,260,55,27,1,1
,4360,1074,453,42.18%,338,89,26,0,0
,4361,1424,617,43.33%,456,101,51,3,6
,4362,1154,526,45.58%,392,87,44,0,3
,4363,1885,1015,53.85%,859,92,55,5,4
,5029,240,142,59.17%,121,14,7,0,0
,5100,1338,575,42.97%,462,73,36,1,3
,5200,1304,568,43.56%,444,76,46,0,2
,5201,1205,537,44.56%,413,69,49,2,4
,5301,552,209,37.86%,170,28,11,0,0
,5401,172,90,52.33%,73,11,6,0,0
,5425,903,465,51.50%,347,80,33,0,5
,5602,107,55,51.40%,42,6,7,0,0
,5604,765,384,50.20%,297,55,32,0,0
,5605,68,27,39.71%,24,2,1,0,0
,5819,1430,636,44.48%,486,99,42,3,6
,5820,1681,759,45.15%,587,124,46,0,2
,5828,1301,569,43.74%,414,99,50,0,6
,5842,1581,858,54.27%,699,93,62,0,4
,5846,1436,663,46.17%,509,107,44,1,2
,5850,866,363,41.92%,281,46,32,1,3
,5851,1554,699,44.98%,547,110,36,2,4
,5853,1430,691,48.32%,542,98,44,1,6
,5855,1423,678,47.65%,564,66,46,0,2
,5861,976,424,43.44%,325,61,35,0,3
,5868,1032,444,43.02%,369,49,23,0,3
,5870,1400,622,44.43%,491,90,36,1,4
,5871,893,346,38.75%,252,63,25,1,5
,TOTAL,141255,73049,51.71%,60157,8097,4414,110,271
HOUSE DIST. 5 (DEM),Precinct,Voters,Trnout,Pct,DARLENE HOOLEY,Under Votes,Over Votes,Write-ins
,0156,27,13,48.15%,11,2,0,0
,1183,1012,612,60.47%,467,144,0,1
,1211,1071,720,67.23%,528,183,1,8
,1213,1377,901,65.43%,647,250,0,4
,1222,1920,1250,65.10%,928,311,0,11
,1238,1039,591,56.88%,424,154,0,13
,1400,613,341,55.63%,282,58,0,1
,1546,366,257,70.22%,195,60,1,1
,TOTAL,7425,4685,63.10%,3482,1162,2,39
GOVERNOR (DEM),Precinct,Voters,Trnout,Pct,WILLIAM PETER ALLEN,CALEB BURNS,JIM HILL,TED KULONGOSKI,BEV STEIN,Under Votes,Over Votes,Write-ins
,0156,27,13,48.15%,0,0,2,7,3,0,1,0
,0158,21,13,61.90%,0,1,4,8,0,0,0,0
,0543,17,5,29.41%,0,0,1,3,1,0,0,0
,0547,15,6,40.00%,0,0,2,3,1,0,0,0
,0548,15,5,33.33%,0,0,3,1,1,0,0,0
,0601,0,0,0.00%,0,0,0,0,0,0,0,0
,1002,365,204,55.89%,4,3,45,102,43,5,2,0
,1013,2315,1544,66.70%,8,3,277,723,491,29,13,0
,1025,1660,794,47.83%,2,10,146,375,224,27,5,5
,1045,113,84,74.34%,3,0,20,47,13,1,0,0
,1053,1028,414,40.27%,0,2,84,199,110,14,4,1
,1103,1480,740,50.00%,9,1,161,349,194,19,6,1
,1156,1436,977,68.04%,2,4,132,564,243,23,6,3
,1170,1782,1216,68.24%,6,3,222,670,273,19,14,9
,1183,1012,612,60.47%,3,2,115,326,144,14,7,1
,1205,1860,1094,58.82%,6,5,230,563,245,28,9,8
,1211,1071,720,67.23%,7,1,144,394,151,14,8,1
,1213,1377,901,65.43%,4,5,213,472,158,36,10,3
,1222,1920,1250,65.10%,4,4,273,669,249,36,10,5
,1224,1662,1144,68.83%,8,0,214,633,256,17,13,3
,1226,1110,750,67.57%,0,0,132,428,149,33,7,1
,1230,2036,1250,61.39%,3,2,278,633,281,33,15,5
,1238,1039,591,56.88%,9,1,166,284,108,14,3,6
,1240,734,486,66.21%,3,0,99,247,118,12,6,1
,1245,2137,1338,62.61%,6,9,295,701,270,44,8,5
,1315,1510,813,53.84%,6,1,175,410,194,17,5,5
,1321,771,459,59.53%,2,2,106,242,86,17,3,1
,1400,613,341,55.63%,2,3,67,200,60,5,2,2
,1500,251,143,56.97%,3,1,25,74,34,4,2,0
,1504,696,436,62.64%,5,9,91,223,87,13,4,4
,1505,238,153,64.29%,2,2,26,87,25,5,3,3
,1507,131,88,67.18%,1,0,20,45,19,2,1,0
,1515,424,291,68.63%,0,0,56,170,57,6,2,0
,1546,366,257,70.22%,0,1,48,140,52,14,2,0
,2002,1877,785,41.82%,16,4,166,385,175,26,5,8
,2026,1926,812,42.16%,13,9,174,397,181,20,1,17
,2029,2048,944,46.09%,13,6,269,400,213,25,11,7
,2077,2331,1250,53.63%,23,13,249,660,255,30,8,12
,2086,2117,971,45.87%,10,6,323,370,221,26,6,9
,2099,1946,764,39.26%,6,5,344,205,177,15,9,3
,2100,2122,1180,55.61%,17,18,224,606,253,48,8,6
,2114,1914,1057,55.22%,14,5,271,486,237,24,17,3
,2143,1076,529,49.16%,4,5,142,242,102,20,5,9
,3000,1674,837,50.00%,12,8,159,409,202,29,6,12
,3002,2027,1029,50.76%,16,4,256,485,230,27,5,6
,3004,1766,679,38.45%,11,7,340,150,128,27,6,10
,3008,2250,1169,51.96%,11,5,499,381,229,28,11,5
,3058,2209,1028,46.54%,9,11,304,412,244,32,14,2
,3097,2250,1066,47.38%,5,1,380,387,259,20,9,5
,3113,2092,1386,66.25%,4,4,330,693,302,39,12,2
,3128,2143,1477,68.92%,11,4,334,720,353,33,16,6
,3144,1777,1305,73.44%,4,4,256,644,339,36,18,4
,3151,2521,1176,46.65%,5,4,418,365,347,16,14,7
,3177,2109,1267,60.08%,11,9,309,618,273,29,9,9
,3185,1053,515,48.91%,4,5,107,247,113,29,2,8
,3193,2171,1300,59.88%,13,5,299,592,329,40,14,8
,3240,1948,1064,54.62%,11,4,196,533,276,29,6,9
,3248,1338,782,58.45%,7,4,184,383,183,10,8,3
,3253,1487,874,58.78%,3,5,206,401,238,14,6,1
,3259,2171,1439,66.28%,8,2,289,632,469,22,10,7
,3274,1481,753,50.84%,4,1,165,321,238,16,6,2
,3290,1958,1364,69.66%,5,6,288,757,270,21,14,3
,3297,1188,543,45.71%,12,1,159,242,94,23,6,6
,3307,1116,565,50.63%,9,0,134,303,97,12,5,5
,3311,1368,666,48.68%,15,5,143,343,131,16,4,9
,3315,984,427,43.39%,12,6,85,202,90,19,6,7
,3322,952,491,51.58%,10,1,165,220,75,9,4,7
,3327,920,490,53.26%,4,4,110,231,112,20,3,6
,3329,1520,842,55.39%,16,3,199,433,142,32,7,10
,3330,1471,838,56.97%,19,12,203,441,135,15,7,6
,4022,1524,779,51.12%,4,7,167,309,263,15,9,5
,4027,1556,912,58.61%,8,4,164,377,317,28,9,5
,4041,2072,1306,63.03%,10,7,218,617,402,31,11,10
,4049,2048,1135,55.42%,7,6,237,511,320,29,19,6
,4065,2205,1251,56.73%,18,9,249,569,347,38,13,8
,4106,1411,844,59.82%,4,3,155,390,255,22,7,8
,4111,1750,1126,64.34%,7,7,217,571,286,28,5,5
,4125,1316,601,45.67%,12,10,129,292,126,18,4,10
,4131,1395,810,58.06%,15,7,173,385,195,25,6,4
,4155,1871,1076,57.51%,14,4,214,573,226,28,8,9
,4167,2026,1158,57.16%,20,9,235,523,309,42,11,9
,4178,1308,608,46.48%,13,4,147,274,145,15,4,6
,4185,1212,529,43.65%,11,6,119,227,141,15,4,6
,4202,1453,662,45.56%,14,5,118,340,149,20,7,9
,4216,482,179,37.14%,8,3,37,80,41,6,1,3
,4242,1705,990,58.06%,8,7,196,539,195,33,8,4
,4250,1370,799,58.32%,4,7,181,392,178,27,5,5
,4254,918,525,57.19%,9,2,115,247,131,12,5,4
,4282,1669,1094,65.55%,6,4,241,572,235,27,7,2
