PRESIDENT,Precinct,Voters,Trnout,Pct,John F Kerry (DEM),David Cobb (PAC),Michael Anthony Perout (CON),Michael Badnarik (LIB),George W Bush (REP),Write-ins,Over Votes,Under Votes
,101,520,420,80.77,152,1,3,1,258,2,1,2
,102,1301,992,76.25,384,8,3,11,576,2,0,8
,103,1272,1086,85.38,271,2,2,4,796,4,2,5
,104,1377,1145,83.15,357,4,2,2,766,3,0,11
,105,1222,909,74.39,301,8,2,4,586,4,1,3
,106,1077,836,77.62,278,2,6,4,539,3,1,3
,107,519,438,84.39,149,1,2,2,280,1,0,3
,108,290,238,82.07,35,1,1,0,198,1,0,2
,109,279,233,83.51,47,2,1,2,178,0,0,3
,110,903,783,86.71,206,3,4,3,555,2,1,9
,111,1751,1371,78.30,589,6,2,4,746,5,1,18
,112,109,94,86.24,23,4,0,0,64,1,1,1
,113,771,622,80.67,163,1,1,3,446,2,1,5
,114,364,321,88.19,61,0,0,0,255,1,1,3
,115,301,267,88.7,70,0,1,3,189,1,1,2
,116,164,147,89.63,65,0,0,0,81,0,0,1
,117,175,149,85.14,36,0,2,0,111,0,0,0
,119,159,138,86.75,36,0,0,0,102,0,0,0
,120,1158,946,81.69,215,1,4,0,710,7,1,8
,121,521,419,80.42,125,1,0,0,283,2,0,8
,123,713,576,80.79,146,0,1,2,419,1,0,7
,124,845,737,87.22,192,2,2,4,533,1,2,1
,125,681,552,81.06,149,2,2,5,381,5,1,7
,126,1162,914,78.66,341,1,3,5,551,2,7,4
,127,478,401,83.89,143,2,3,1,248,1,0,3
,128,1531,1253,81.84,495,4,4,4,733,3,0,10
,129,923,719,77.90,276,3,0,1,429,6,1,3
,130,1490,1197,80.27,373,2,3,7,805,0,4,3
,131,664,481,72.44,162,2,2,3,303,2,2,5
,132,968,764,78.93,259,3,6,2,485,3,0,6
,133,848,617,72.76,208,0,1,1,400,1,0,6
,136,1320,1047,79.32,371,6,6,6,641,0,1,16
,137,1159,849,73.25,328,4,1,4,494,5,2,11
,138,1296,1018,78.55,379,9,5,3,612,2,1,7
,139,1204,1079,89.62,450,3,1,5,609,3,1,7
,140,288,225,78.13,75,0,1,1,143,2,0,3
,141,964,848,87.97,303,2,2,3,527,3,1,7
,142,810,717,88.52,235,1,1,0,465,6,0,9
,143,1264,1030,81.49,436,2,4,3,571,3,2,9
,TOTAL,32841,26578,80.93,8884,93,84,103,17068,90,37,219
SENATOR,Precinct,Voters,Trnout,Pct,Teresa Keane (PAC),Al King (REP),Dan Fitzgerald (LIB),Ron Wyden (DEM),David Brownlow (CON),Write-ins,Over Votes,Under Votes
,101,520,420,80.77,6,167,8,215,8,1,2,13
,102,1301,992,76.25,13,401,19,514,7,1,0,37
,103,1272,1086,85.38,9,481,15,522,4,1,1,53
,104,1377,1145,83.15,18,436,17,611,8,1,0,54
,105,1222,909,74.39,10,378,18,451,11,2,0,39
,106,1077,836,77.62,15,315,12,451,11,1,0,31
,107,519,438,84.39,6,173,1,244,4,0,0,10
,108,290,238,82.07,2,108,3,112,0,0,0,13
,109,279,233,83.51,2,115,2,97,2,1,0,14
,110,903,783,86.71,5,293,3,446,5,0,0,31
,111,1751,1371,78.30,18,369,17,904,7,2,0,54
,112,109,94,86.24,3,38,1,49,0,1,0,2
,113,771,622,80.67,9,217,6,340,8,2,0,40
,114,364,321,88.19,1,141,3,164,0,0,0,12
,115,301,267,88.7,5,104,4,135,4,0,0,15
,116,164,147,89.63,1,45,1,92,0,0,0,8
,117,175,149,85.14,1,65,2,61,7,0,1,12
,119,159,138,86.75,0,71,0,61,0,0,0,6
,120,1158,946,81.69,12,477,26,371,7,2,0,51
,121,521,419,80.42,5,194,5,189,4,0,1,21
,123,713,576,80.79,4,307,9,217,6,0,0,33
,124,845,737,87.22,10,325,11,374,3,1,0,13
,125,681,552,81.06,15,241,8,259,5,2,0,22
,126,1162,914,78.66,7,299,9,530,8,0,0,61
,127,478,401,83.89,5,138,6,231,3,0,1,17
,128,1531,1253,81.84,17,428,8,723,12,2,0,63
,129,923,719,77.90,10,263,7,398,5,0,0,36
,130,1490,1197,80.27,13,496,25,610,10,1,0,42
,131,664,481,72.44,5,208,9,228,3,0,0,28
,132,968,764,78.93,14,283,10,395,6,1,0,55
,133,848,617,72.76,4,254,16,315,2,0,0,26
,136,1320,1047,79.32,20,321,16,623,14,1,0,52
,137,1159,849,73.25,19,242,16,530,6,0,0,36
,138,1296,1018,78.55,13,289,15,664,6,0,0,31
,139,1204,1079,89.62,15,281,10,732,3,0,0,38
,140,288,225,78.13,2,63,2,149,2,0,0,7
,141,964,848,87.97,2,248,5,553,4,0,0,36
,142,810,717,88.52,3,191,1,477,7,0,0,38
,143,1264,1030,81.49,19,270,7,679,12,0,0,43
,TOTAL,32841,26578,80.93,338,9735,353,14716,214,23,0,1193
HOUSE 2ND DISTRICT,Precinct,Voters,Trnout,Pct,Jim Lindsay (LIB),John C McColgan (DEM),Greg Walden (REP),"Jack Alan Brown, Jr (CON)",Write-ins,Over Votes,Under Votes,
,101,520,420,80.77,4,110,273,12,0,0,21,
,102,1301,992,76.25,17,299,620,11,3,0,42,
,103,1272,1086,85.38,13,189,830,8,3,0,43,
,104,1377,1145,83.15,19,256,789,17,3,0,61,
,105,1222,909,74.39,19,224,609,14,2,0,41,
,106,1077,836,77.62,16,205,564,15,2,0,34,
,107,519,438,84.39,6,102,306,6,1,0,17,
,108,290,238,82.07,1,14,210,0,0,1,12,
,109,279,233,83.51,2,32,180,2,1,0,16,
,110,903,783,86.71,5,124,617,6,0,0,31,
,111,1751,1371,78.30,20,410,858,11,5,0,67,
,112,109,94,86.24,0,16,71,4,0,0,3,
,113,771,622,80.67,6,109,459,5,1,0,42,
,114,364,321,88.19,3,37,266,2,0,0,13,
,115,301,267,88.7,5,24,208,10,0,0,20,
,116,164,147,89.63,4,38,92,4,0,0,9,
,117,175,149,85.14,2,21,115,4,0,0,7,
,119,159,138,86.75,3,27,98,0,0,0,10,
,120,1158,946,81.69,14,154,695,14,1,0,68,
,121,521,419,80.42,7,91,288,7,0,0,26,
,123,713,576,80.79,9,92,429,7,0,0,39,
,124,845,737,87.22,2,129,576,7,2,0,21,
,125,681,552,81.06,8,105,396,13,3,0,27,
,126,1162,914,78.66,14,258,557,12,5,1,67,
,127,478,401,83.89,1,88,287,6,0,0,19,
,128,1531,1253,81.84,12,335,814,17,2,0,73,
,129,923,719,77.90,9,208,455,7,1,0,39,
,130,1490,1197,80.27,14,260,872,12,2,0,37,
,131,664,481,72.44,8,128,302,5,0,0,38,
,132,968,764,78.93,7,181,500,10,2,1,63,
,133,848,617,72.76,10,146,421,3,0,0,37,
,136,1320,1047,79.32,23,238,694,19,3,0,70,
,137,1159,849,73.25,19,200,557,17,1,0,55,
,138,1296,1018,78.55,12,229,720,9,0,0,48,
,139,1204,1079,89.62,11,293,728,3,2,0,42,
,140,288,225,78.13,4,48,151,6,2,0,14,
,141,964,848,87.97,3,190,609,7,2,1,36,
,142,810,717,88.52,2,139,531,4,0,0,41,
,143,1264,1030,81.49,6,261,673,11,1,0,78,
,TOTAL,32841,26578,80.93,340,6010,18420,327,50,4,1427,
SECRETARY OF STATE,Precinct,Voters,Trnout,Pct,Betsy L Close (REP),Richard Morley (LIB),Bill Bradbury (DEM),Write-ins,Over Votes,Under Votes,,
,101,520,420,80.77,214,8,178,2,0,18,,
,102,1301,992,76.25,459,30,455,2,0,46,,
,103,1272,1086,85.38,607,25,383,1,1,69,,
,104,1377,1145,83.15,539,45,478,4,0,79,,
,105,1222,909,74.39,443,41,371,1,0,53,,
,106,1077,836,77.62,377,32,379,2,0,46,,
,107,519,438,84.39,225,6,178,0,0,29,,
,108,290,238,82.07,161,4,59,0,0,14,,
,109,279,233,83.51,143,7,68,1,0,14,,
,110,903,783,86.71,403,17,309,1,0,53,,
,111,1751,1371,78.30,545,49,700,1,0,76,,
,112,109,94,86.24,45,4,40,0,0,5,,
,113,771,622,80.67,301,27,236,2,0,56,,
,114,364,321,88.19,186,10,101,0,0,24,,
,115,301,267,88.7,147,10,88,0,0,22,,
,116,164,147,89.63,59,4,73,1,0,10,,
,117,175,149,85.14,83,2,52,0,1,11,,
,119,159,138,86.75,81,5,40,0,0,12,,
,120,1158,946,81.69,527,35,305,1,0,78,,
,121,521,419,80.42,218,16,154,0,0,31,,
,123,713,576,80.79,324,20,182,0,0,50,,
,124,845,737,87.22,426,20,265,1,0,25,,
,125,681,552,81.06,282,22,208,4,0,36,,
,126,1162,914,78.66,382,29,432,2,0,69,,
,127,478,401,83.89,195,5,179,0,0,22,,
,128,1531,1253,81.84,539,36,597,3,0,78,,
,129,923,719,77.90,294,28,349,1,0,47,,
,130,1490,1197,80.27,633,32,479,0,0,53,,
,131,664,481,72.44,233,9,199,0,0,40,,
,132,968,764,78.93,350,22,318,3,0,71,,
,133,848,617,72.76,295,17,256,0,0,49,,
,136,1320,1047,79.32,434,36,508,1,0,68,,
,137,1159,849,73.25,347,38,403,4,0,57,,
,138,1296,1018,78.55,440,27,503,3,0,45,,
,139,1204,1079,89.62,432,31,556,2,0,58,,
,140,288,225,78.13,89,7,112,0,0,17,,
,141,964,848,87.97,374,12,414,2,0,46,,
,142,810,717,88.52,309,12,343,0,0,53,,
,143,1264,1030,81.49,373,31,559,2,0,65,,
,TOTAL,32841,26578,80.93,12514,811,11509,47,2,1695,,
STATE TREASURER,Precinct,Voters,Trnout,Pct,Randall Edwards (DEM),Jeff Caton (REP),Carole D Winegarden (CON),Mitch Shults (LIB),Write-ins,Over Votes,Under Votes,
,101,520,420,80.77,150,202,22,12,0,2,32,
,102,1301,992,76.25,412,445,35,32,0,0,68,
,103,1272,1086,85.38,335,610,23,18,1,0,99,
,104,1377,1145,83.15,375,568,58,30,0,0,114,
,105,1222,909,74.39,323,447,34,37,1,0,67,
,106,1077,836,77.62,318,401,38,22,1,0,56,
,107,519,438,84.39,158,218,11,10,0,0,41,
,108,290,238,82.07,49,152,6,6,1,0,24,
,109,279,233,83.51,47,150,9,4,2,0,21,
,110,903,783,86.71,264,410,21,9,0,0,79,
,111,1751,1371,78.30,638,546,35,28,2,0,122,
,112,109,94,86.24,35,48,3,0,0,1,7,
,113,771,622,80.67,184,309,31,13,2,1,82,
,114,364,321,88.19,81,194,7,4,0,0,35,
,115,301,267,88.7,81,140,11,5,0,0,30,
,116,164,147,89.63,63,60,5,5,0,0,14,
,117,175,149,85.14,40,76,12,5,0,1,15,
,119,159,138,86.75,39,76,2,5,0,0,16,
,120,1158,946,81.69,249,519,33,33,0,0,112,
,121,521,419,80.42,131,227,17,9,0,0,35,
,123,713,576,80.79,158,328,18,11,0,0,61,
,124,845,737,87.22,211,446,22,13,3,0,42,
,125,681,552,81.06,173,284,25,13,3,0,54,
,126,1162,914,78.66,368,395,33,22,0,0,96,
,127,478,401,83.89,145,197,12,4,0,0,43,
,128,1531,1253,81.84,516,539,64,23,0,0,111,
,129,923,719,77.90,283,312,25,20,1,0,78,
,130,1490,1197,80.27,393,642,47,23,2,0,90,
,131,664,481,72.44,169,235,20,7,0,0,50,
,132,968,764,78.93,270,375,18,10,2,0,89,
,133,848,617,72.76,207,317,11,14,0,0,68,
,136,1320,1047,79.32,395,461,46,27,0,0,118,
,137,1159,849,73.25,339,362,32,20,2,0,94,
,138,1296,1018,78.55,409,470,33,21,1,0,84,
,139,1204,1079,89.62,485,447,19,15,2,0,111,
,140,288,225,78.13,95,82,10,6,0,0,32,
,141,964,848,87.97,343,403,10,11,1,0,80,
,142,810,717,88.52,294,315,21,4,0,0,83,
,143,1264,1030,81.49,452,396,35,17,3,0,127,
,TOTAL,32841,26578,80.93,9677,12804,914,568,30,5,2580,
ATTORNEY GENERAL,Precinct,Voters,Trnout,Pct,Richard D Hake (CON),Paul Connolly (REP),Hardy Myers (DEM),"Donald G Smith, Jr (LIB)",Write-ins,Over Votes,Under Votes,
,101,520,420,80.77,11,211,155,13,0,0,30,
,102,1301,992,76.25,10,465,407,43,0,0,67,
,103,1272,1086,85.38,5,629,329,27,0,0,96,
,104,1377,1145,83.15,15,587,398,43,0,0,102,
,105,1222,909,74.39,13,474,318,38,2,0,64,
,106,1077,836,77.62,13,415,315,38,1,0,54,
,107,519,438,84.39,5,221,151,20,0,0,41,
,108,290,238,82.07,0,154,54,7,0,0,23,
,109,279,233,83.51,5,149,54,4,1,0,20,
,110,903,783,86.71,8,422,269,11,0,0,73,
,111,1751,1371,78.30,14,549,650,54,0,0,104,
,112,109,94,86.24,0,47,40,0,1,0,6,
,113,771,622,80.67,7,308,206,28,1,0,72,
,114,364,321,88.19,1,205,72,10,0,0,33,
,115,301,267,88.7,1,152,72,13,0,0,29,
,116,164,147,89.63,2,67,58,4,0,0,16,
,117,175,149,85.14,8,85,33,8,0,0,15,
,119,159,138,86.75,0,84,36,3,0,0,15,
,120,1158,946,81.69,5,564,246,30,1,0,100,
,121,521,419,80.42,7,237,127,13,0,0,35,
,123,713,576,80.79,9,351,140,18,0,0,58,
,124,845,737,87.22,5,446,231,18,0,0,37,
,125,681,552,81.06,9,296,160,28,2,0,57,
,126,1162,914,78.66,10,407,376,41,0,0,80,
,127,478,401,83.89,2,194,157,10,0,0,38,
,128,1531,1253,81.84,16,561,538,33,0,0,105,
,129,923,719,77.90,6,334,286,20,1,0,72,
,130,1490,1197,80.27,14,657,394,45,1,0,86,
,131,664,481,72.44,8,244,165,20,0,0,44,
,132,968,764,78.93,7,378,273,18,3,0,85,
,133,848,617,72.76,5,314,214,17,0,0,67,
,136,1320,1047,79.32,11,470,425,44,1,0,96,
,137,1159,849,73.25,11,354,351,41,1,0,91,
,138,1296,1018,78.55,15,461,437,27,0,0,78,
,139,1204,1079,89.62,2,450,517,23,1,0,86,
,140,288,225,78.13,2,89,96,11,0,0,27,
,141,964,848,87.97,4,381,387,11,1,0,64,
,142,810,717,88.52,4,327,302,13,0,0,71,
,143,1264,1030,81.49,8,418,467,29,2,0,106,
,TOTAL,32841,26578,80.93,278,13157,9906,874,20,0,2343,
STATE SENATOR 29TH DISTRICT,Precinct,Voters,Trnout,Pct,David Nelson (REP),Write-ins,Over Votes,Under Votes,,,,
,101,520,420,80.77,297,7,0,116,,,,
,102,1301,992,76.25,712,17,0,263,,,,
,103,1272,1086,85.38,841,16,1,228,,,,
,104,1377,1145,83.15,839,15,0,291,,,,
,105,1222,909,74.39,656,13,0,240,,,,
,106,1077,836,77.62,607,11,0,218,,,,
,107,519,438,84.39,330,2,0,106,,,,
,108,290,238,82.07,200,1,0,37,,,,
,109,279,233,83.51,182,3,0,48,,,,
,110,903,783,86.71,607,8,0,168,,,,
,111,1751,1371,78.30,941,24,1,405,,,,
,112,109,94,86.24,72,3,0,19,,,,
,113,771,622,80.67,469,7,0,146,,,,
,114,364,321,88.19,258,3,0,60,,,,
,115,301,267,88.7,212,2,0,53,,,,
,116,164,147,89.63,105,4,0,38,,,,
,117,175,149,85.14,101,1,1,46,,,,
,119,159,138,86.75,100,1,0,37,,,,
,120,1158,946,81.69,664,10,0,272,,,,
,121,521,419,80.42,311,2,0,106,,,,
,123,713,576,80.79,406,6,0,164,,,,
,124,845,737,87.22,594,7,0,136,,,,
,125,681,552,81.06,407,14,0,131,,,,
,126,1162,914,78.66,634,12,0,268,,,,
,127,478,401,83.89,294,1,0,106,,,,
,128,1531,1253,81.84,910,14,0,329,,,,
,129,923,719,77.90,495,15,0,209,,,,
,130,1490,1197,80.27,926,8,0,263,,,,
,131,664,481,72.44,338,6,0,137,,,,
,132,968,764,78.93,520,13,0,231,,,,
,133,848,617,72.76,426,5,0,186,,,,
,136,1320,1047,79.32,752,26,0,269,,,,
,137,1159,849,73.25,596,17,0,236,,,,
,138,1296,1018,78.55,777,21,0,220,,,,
,139,1204,1079,89.62,785,23,0,271,,,,
,140,288,225,78.13,169,5,0,51,,,,
,141,964,848,87.97,646,14,0,188,,,,
,142,810,717,88.52,532,8,0,177,,,,
,143,1264,1030,81.49,732,16,0,282,,,,
,TOTAL,32841,26578,80.93,19443,381,3,6751,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,